OBJECTID,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,Borough,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,factype,Public Area,Public Area (supergroup),facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,boro,bin,bbl,xcoord,ycoord,cd,nta2010,nta2020,council,ct2010,ct2020,borocode,schooldist,policeprct,datasource,uid
1,261262931,1/1/2023,2:00:00,1/1/2023,4:00:00,72,1/3/2023,104,RAPE,157,RAPE 1,COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),984128,179058,40.65815775,-74.00044115,"(40.6581577535544, -74.0004411548878)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,261207677,1/1/2023,19:35:00,1/1/2023,19:40:00,62,1/1/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),986865,159712,40.605049,-73.990582,"(40.605049, -73.990582)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,261196045,1/1/2023,5:00:00,1/1/2023,6:30:00,60,1/1/2023,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),987061,148773,40.575023,-73.98988,"(40.575023, -73.98988)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,261199145,1/1/2023,13:50:00,1/1/2023,14:00:00,60,1/1/2023,105,ROBBERY,366,"ROBBERY,BICYCLE",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),988705,154179,40.589863,-73.983958,"(40.589863, -73.983958)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,261188346,1/1/2023,6:40:00,1/1/2023,6:50:00,70,1/1/2023,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),993964,168531,40.629252,-73.965003,"(40.629252, -73.965003)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,261207676,1/1/2023,17:20:00,1/1/2023,17:25:00,61,1/1/2023,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",ATTEMPTED,FELONY,BROOKLYN,FRONT OF,FOOD SUPERMARKET,N.Y. POLICE DEPT,(null),(null),996228,157431,40.598782,-73.956867,"(40.598782, -73.956867)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,261197534,1/1/2023,10:00:00,1/1/2023,10:07:00,70,1/1/2023,105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,JEWELRY,N.Y. POLICE DEPT,(null),(null),995770,175895,40.64946,-73.958482,"(40.64946, -73.958482)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,261505978,1/1/2023,0:01:00,1/1/2023,12:00:00,61,1/6/2023,104,RAPE,153,RAPE 3,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),995122,155693,40.59401906,-73.96085432,"(40.5940190586592, -73.9608543158447)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,261210620,1/1/2023,23:55:00,1/2/2023,0:00:00,79,1/2/2023,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,BROOKLYN,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),996126,190239,40.688832,-73.957177,"(40.688832, -73.957177)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,261199148,1/1/2023,12:00:00,1/1/2023,12:15:00,71,1/1/2023,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,BROOKLYN,INSIDE,HOSPITAL,N.Y. POLICE DEPT,(null),(null),999439,178174,40.655711,-73.945257,"(40.655711, -73.945257)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
