OBJECTID,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,boro,bin,bbl,xcoord,ycoord,cd,nta2010,nta2020,council,ct2010,ct2020,borocode,schooldist,policeprct,datasource,uid
1,261214832,2023-01-01,22:55:00,2023-01-01,23:00:00,120,2023-01-01,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),963713,173753,40.643566,-74.074001,"(40.643566, -74.074001)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,261233859,2023-01-02,13:20:00,2023-01-02,13:33:00,121,2023-01-02,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",COMPLETED,FELONY,STATEN ISLAND,INSIDE,STREET,N.Y. POLICE DEPT,(null),(null),939463,171015,40.635961,-74.161365,"(40.635961, -74.161365)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,261233841,2023-01-02,8:00:00,2023-01-02,09:15:00,120,2023-01-02,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),956959,173761,40.643569,-74.098338,"(40.643569, -74.098338)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,261261343,2023-01-03,1:14:00,2023-01-03,01:16:00,121,2023-01-03,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),944563,168983,40.630408,-74.142977,"(40.630408, -74.142977)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,261347872,2023-01-04,14:00:00,2023-01-04,14:02:00,120,2023-01-04,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),962976,169008,40.630539,-74.076641,"(40.630539, -74.076641)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,261434927,2023-01-05,18:30:00,2023-01-05,19:05:00,120,2023-01-05,105,ROBBERY,387,"ROBBERY,CLOTHING",COMPLETED,FELONY,STATEN ISLAND,(null),STREET,N.Y. POLICE DEPT,(null),(null),949981,171426,40.63713502,-74.12347311,"(40.63713502, -74.12347311)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,261431397,2023-01-05,16:50:00,2023-01-05,17:00:00,120,2023-01-05,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,STATEN ISLAND,INSIDE,SHOE,N.Y. POLICE DEPT,(null),(null),963019,173910,40.643996,-74.076502,"(40.643996, -74.076502)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,261466791,2023-01-06,1:10:00,2023-01-06,01:15:00,123,2023-01-06,105,ROBBERY,380,"ROBBERY,CAR JACKING",ATTEMPTED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),924509,130267,40.524027,-74.214885,"(40.524027, -74.214885)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,261493026,2023-01-06,15:30:00,2023-01-06,15:35:00,120,2023-01-06,105,ROBBERY,387,"ROBBERY,CLOTHING",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,(null),(null),960287,170614,40.634941,-74.086335,"(40.634941, -74.086335)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,261548611,2023-01-07,18:20:00,2023-01-07,18:35:00,120,2023-01-07,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,STATEN ISLAND,OPPOSITE OF,STREET,N.Y. POLICE DEPT,(null),(null),948941,170199,40.633764,-74.127213,"(40.633764, -74.127213)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
