OBJECTID,Offense,Latitude,Longitude,facname,Public Area,Public Area (supergroup)
1,RAPE,40.7431246,-73.95606807,,,
2,ROBBERY,40.755442,-73.941645,,,
3,ROBBERY,40.763911,-73.926024,,,
4,RAPE,40.76949512,-73.91502417,,,
5,RAPE,40.75656758,-73.87593153,,,
6,ROBBERY,40.75326365,-73.86444773,,,
7,ROBBERY,40.75177,-73.855195,,,
8,RAPE,40.67998074,-73.77623391,,,
9,ROBBERY,40.743537,-73.921946,,,
10,ROBBERY,40.768408,-73.911311,,,
11,ROBBERY,40.746713,-73.884707,,,
12,ROBBERY,40.729936,-73.859672,,,
13,ROBBERY,40.68148451,-73.85047828,,,
14,ROBBERY,40.7301124,-73.86508294,,,
15,ROBBERY,40.684386,-73.848956,,,
16,ROBBERY,40.691612,-73.833498,,,
17,ROBBERY,40.688984,-73.802421,,,
18,ROBBERY,40.76226003,-73.75698278,,,
19,ROBBERY,40.592247,-73.763953,,,
20,ROBBERY,40.596202,-73.763912,,,
21,ROBBERY,40.75783687,-73.913305,,,
22,RAPE,40.74348126,-73.87400354,,,
23,ROBBERY,40.760096,-73.868984,,,
24,ROBBERY,40.750846,-73.869386,,,
25,ROBBERY,40.739447,-73.864982,,,
26,ROBBERY,40.68031491,-73.84201904,,,
27,ROBBERY,40.742324,-73.815331,,,
28,ROBBERY,40.707233,-73.802508,,,
29,ROBBERY,40.598483,-73.74389,,,
30,RAPE,40.7431246,-73.95606807,,,
31,ROBBERY,40.752425,-73.91494,,,
32,ROBBERY,40.762606,-73.916041,,,
33,ROBBERY,40.704218,-73.8767,,,
34,ROBBERY,40.75744192,-73.86746404,,,
35,ROBBERY,40.745957,-73.868175,,,
36,ROBBERY,40.728375,-73.814941,,,
37,RAPE,40.73011307,-73.81090891,,,
38,ROBBERY,40.68135,-73.772659,,,
39,ROBBERY,40.705644,-73.794427,,,
40,ROBBERY,40.667391,-73.757156,,,
41,RAPE,40.7431246,-73.95606807,,,
42,RAPE,40.76949512,-73.91502417,,,
43,ROBBERY,40.753852,-73.901667,,,
44,RAPE,40.70443503,-73.89378071,,,
45,ROBBERY,40.755315,-73.887692,,,
46,ROBBERY,40.75684993,-73.87311053,,,
47,ROBBERY,40.70025999,-73.80867321,,,
48,ROBBERY,40.587654,-73.810559,,,
49,ROBBERY,40.59198,-73.800066,,,
50,ROBBERY,40.703546,-73.799675,,,
51,ROBBERY,40.704094,-73.800656,,,
52,ROBBERY,40.74914322,-73.91560089,,,
53,ROBBERY,40.70368788,-73.90917367,,,
54,ROBBERY,40.74582974,-73.90109717,,,
55,ROBBERY,40.749306,-73.888502,,,
56,ROBBERY,40.70512357,-73.81190532,,,
57,ROBBERY,40.674992,-73.768897,,,
58,ROBBERY,40.758511,-73.781002,,,
59,ROBBERY,40.772921,-73.933414,,,
60,ROBBERY,40.74377317,-73.91382854,,,
61,RAPE,40.74348126,-73.87400354,,,
62,RAPE,40.75656758,-73.87593153,,,
63,ROBBERY,40.749918,-73.862239,,,
64,ROBBERY,40.728604,-73.851305,,,
65,ROBBERY,40.74726832,-73.85698205,,,
66,ROBBERY,40.66873504,-73.84227357,,,
67,ROBBERY,40.755875,-73.827027,,,
68,ROBBERY,40.70926369,-73.82835941,,,
69,ROBBERY,40.70247387,-73.79992086,,,
70,ROBBERY,40.75770953,-73.93215078,,,
71,ROBBERY,40.74380795,-73.924258,,,
72,ROBBERY,40.72488816,-73.898978,,,
73,ROBBERY,40.762913,-73.874758,,,
74,RAPE,40.69932416,-73.83157089,,,
75,ROBBERY,40.752324,-73.829995,,,
76,ROBBERY,40.756001,-73.832374,,,
77,ROBBERY,40.73973951,-73.92317643,,,
78,ROBBERY,40.680351,-73.844265,,,
79,ROBBERY,40.676567,-73.819433,,,
80,ROBBERY,40.75635713,-73.82577277,,,
81,ROBBERY,40.754376,-73.772451,,,
82,ROBBERY,40.594027,-73.77553,,,
83,ROBBERY,40.746419,-73.887626,,,
84,ROBBERY,40.734722,-73.874462,,,
85,ROBBERY,40.666253,-73.850815,,,
86,ROBBERY,40.77016535,-73.81827063,,,
87,ROBBERY,40.760861,-73.769647,,,
88,ROBBERY,40.711344,-73.763387,,,
89,ROBBERY,40.766419,-73.9157,,,
90,MURDER & NON-NEGL. MANSLAUGHTER,40.723879,-73.906951,,,
91,ROBBERY,40.748047,-73.901092,,,
92,ROBBERY,40.745446,-73.896155,,,
93,ROBBERY,40.758557,-73.833072,,,
94,ROBBERY,40.752294,-73.834218,,,
95,ROBBERY,40.704693,-73.801694,,,
96,ROBBERY,40.699795,-73.807364,,,
97,ROBBERY,40.70813894,-73.80302383,,,
98,ROBBERY,40.748688,-73.884123,,,
99,ROBBERY,40.71199453,-73.86072617,,,
100,ROBBERY,40.75956952,-73.8301393,,,
101,ROBBERY,40.701337,-73.812933,,,
102,ROBBERY,40.69819957,-73.76879273,,,
103,ROBBERY,40.74731,-73.903129,,,
104,ROBBERY,40.753461,-73.831369,,,
105,ROBBERY,40.734681,-73.810626,,,
106,ROBBERY,40.698954,-73.79299,,,
107,ROBBERY,40.709797,-73.773586,,,
108,ROBBERY,40.739753,-73.78969,,,
109,ROBBERY,40.666547,-73.782802,,,
110,ROBBERY,40.757138,-73.946544,,,
111,ROBBERY,40.74739571,-73.90955438,,,
112,RAPE,40.76949512,-73.91502417,,,
113,ROBBERY,40.75570582,-73.86623667,,,
114,ROBBERY,40.750846,-73.869386,,,
115,ROBBERY,40.747979,-73.868722,,,
116,ROBBERY,40.743725,-73.853413,,,
117,ROBBERY,40.673296,-73.840437,,,
118,RAPE,40.68239828,-73.84007216,,,
119,RAPE,40.70723982,-73.79272673,,,
120,ROBBERY,40.709526,-73.78205,,,
121,ROBBERY,40.680001,-73.752339,,,
122,ROBBERY,40.757085,-73.941842,,,
123,ROBBERY,40.74681219,-73.89175204,,,
124,ROBBERY,40.752435,-73.871317,,,
125,ROBBERY,40.747879,-73.881604,,,
126,ROBBERY,40.739199,-73.86872003,,,
127,ROBBERY,40.754394,-73.863106,,,
128,ROBBERY,40.754999,-73.825931,,,
129,ROBBERY,40.716484,-73.758267,,,
130,ROBBERY,40.708966,-73.768075,,,
131,ROBBERY,40.701147,-73.742665,,,
132,RAPE,40.60277623,-73.75011736,,,
133,ROBBERY,40.745277,-73.921596,,,
134,ROBBERY,40.746587,-73.898779,,,
135,RAPE,40.68239828,-73.84007216,,,
136,ROBBERY,40.596799,-73.799809,,,
137,ROBBERY,40.715859,-73.746092,,,
138,ROBBERY,40.699923,-73.897394,,,
139,ROBBERY,40.734478,-73.868013,,,
140,ROBBERY,40.73413544,-73.86917383,,,
141,ROBBERY,40.682832,-73.838369,,,
142,ROBBERY,40.69664301,-73.80740336,,,
143,ROBBERY,40.77676279,-73.81595627,,,
144,ROBBERY,40.71101824,-73.78174089,,,
145,ROBBERY,40.710334,-73.787682,,,
146,ROBBERY,40.761636,-73.928971,,,
147,ROBBERY,40.70397473,-73.90412395,,,
148,ROBBERY,40.746412,-73.889451,,,
149,ROBBERY,40.785712,-73.838906,,,
150,ROBBERY,40.764106,-73.821156,,,
151,ROBBERY,40.71175736,-73.79562219,,,
152,ROBBERY,40.706284,-73.796418,,,
153,ROBBERY,40.756607,-73.927528,,,
154,RAPE,40.76949512,-73.91502417,,,
155,ROBBERY,40.752435,-73.871317,,,
156,ROBBERY,40.742416,-73.866876,,,
157,ROBBERY,40.75454449,-73.83055276,,,
158,ROBBERY,40.755587,-73.831082,,,
159,ROBBERY,40.708972,-73.776671,,,
160,ROBBERY,40.710236,-73.745967,,,
161,ROBBERY,40.753936,-73.859369,,,
162,ROBBERY,40.749918,-73.862239,,,
163,ROBBERY,40.59639,-73.784673,,,
164,ROBBERY,40.712563,-73.753396,,,
165,ROBBERY,40.66032997,-73.73934331,,,
166,ROBBERY,40.699923,-73.897394,,,
167,ROBBERY,40.738374,-73.896804,,,
168,MURDER & NON-NEGL. MANSLAUGHTER,40.739221,-73.884524,,,
169,ROBBERY,40.753052,-73.873071,,,
170,ROBBERY,40.703582,-73.872958,,,
171,ROBBERY,40.757098,-73.828963,,,
172,ROBBERY,40.6723793,-73.78574628,,,
173,RAPE,40.67998074,-73.77623391,,,
174,ROBBERY,40.75860075,-73.91820227,,,
175,ROBBERY,40.70587832,-73.91287845,,,
176,ROBBERY,40.70283935,-73.9052833,,,
177,ROBBERY,40.746828,-73.891591,,,
178,ROBBERY,40.768762,-73.833528,,,
179,ROBBERY,40.706191,-73.914937,,,
180,ROBBERY,40.744613,-73.911027,,,
181,ROBBERY,40.73902749,-73.89407417,,,
182,ROBBERY,40.68741174,-73.85144576,,,
183,ROBBERY,40.661178,-73.855979,,,
184,ROBBERY,40.687784,-73.85013,,,
185,ROBBERY,40.75894,-73.827802,,,
186,ROBBERY,40.700355,-73.832558,,,
187,ROBBERY,40.708715,-73.784673,,,
188,ROBBERY,40.700215,-73.756768,,,
189,ROBBERY,40.664967,-73.735838,,,
190,ROBBERY,40.700568,-73.897341,,,
191,ROBBERY,40.74699,-73.890036,,,
192,ROBBERY,40.749081,-73.8804,,,
193,ROBBERY,40.773785,-73.936279,,,
194,ROBBERY,40.703124,-73.909749,,,
195,ROBBERY,40.74094159,-73.87085654,,,
196,ROBBERY,40.752756,-73.858124,,,
197,ROBBERY,40.721497,-73.80771,,,
198,RAPE,40.7431246,-73.95606807,,,
199,ROBBERY,40.739258,-73.919003,,,
200,ROBBERY,40.738254,-73.885212,,,
201,RAPE,40.75656758,-73.87593153,,,
202,ROBBERY,40.68066927,-73.83632886,,,
203,ROBBERY,40.793823,-73.847816,,,
204,ROBBERY,40.679623,-73.820928,,,
205,ROBBERY,40.701768,-73.807458,,,
206,ROBBERY,40.668393,-73.771426,,,
207,ROBBERY,40.762928,-73.914676,,,
208,ROBBERY,40.699958,-73.907638,,,
