OBJECTID,Complaint ID,Offense,Latitude,Longitude,Borough,Public Area
1,261214832,ROBBERY,40.643566,-74.074001,,
2,261233859,ROBBERY,40.635961,-74.161365,,
3,261233841,ROBBERY,40.643569,-74.098338,,
4,261261343,ROBBERY,40.630408,-74.142977,,
5,261347872,ROBBERY,40.630539,-74.076641,,
6,261434927,ROBBERY,40.63713502,-74.12347311,,
7,261431397,ROBBERY,40.643996,-74.076502,,
8,261466791,ROBBERY,40.524027,-74.214885,,
9,261493026,ROBBERY,40.634941,-74.086335,,
10,261548611,ROBBERY,40.633764,-74.127213,,
11,261586618,ROBBERY,40.63681,-74.11865,,
12,261612375,ROBBERY,40.627054,-74.077144,,
13,261676947,ROBBERY,40.6423,-74.081657,,
14,261661952,ROBBERY,40.647119,-74.088178,,
15,261775688H1,MURDER & NON-NEGL. MANSLAUGHTER,40.63325,-74.120539,,
16,261860831,ROBBERY,40.64120901,-74.08290054,,
17,261852145,ROBBERY,40.64184556,-74.08324005,,
18,261843553,ROBBERY,40.606321,-74.065039,,
19,261926303,ROBBERY,40.608453,-74.082436,,
20,261895324,ROBBERY,40.5704668,-74.10976191,,
21,261958745,RAPE,40.64472094,-74.07703272,,
22,262170680,ROBBERY,40.626851,-74.163438,,
23,262015386,ROBBERY,40.63776,-74.076476,,
24,262115666,ROBBERY,40.637099,-74.087683,,
25,262122253,ROBBERY,40.629262,-74.07943,,
26,262254386,ROBBERY,40.571641,-74.09304,,
27,262235449,ROBBERY,40.647119,-74.088178,,
28,262242179,ROBBERY,40.639659,-74.097776,,
29,262325373,ROBBERY,40.537482,-74.15026,,
30,262426205,ROBBERY,40.63457814,-74.14583171,,
31,262494382,ROBBERY,40.64322,-74.075921,,
32,262506354,ROBBERY,40.591709,-74.067734,,
33,262528533,RAPE,40.62318838,-74.14923769,,
34,262591167,ROBBERY,40.634484,-74.118152,,
35,262661514,ROBBERY,40.61381238,-74.10421438,,
36,262649424,ROBBERY,40.613717,-74.084818,,
37,262685009,ROBBERY,40.578185,-74.169648,,
38,262720135,ROBBERY,40.607597,-74.121045,,
39,262791789,ROBBERY,40.627286,-74.155636,,
40,262780841,ROBBERY,40.598352,-74.065527,,
41,262901739,ROBBERY,40.638224,-74.142515,,
42,262984245,ROBBERY,40.643996,-74.076502,,
43,262954688,ROBBERY,40.612118,-74.070003,,
44,264354937,RAPE,40.51203825,-74.24975495,,
45,263111966,ROBBERY,40.63457814,-74.14583171,,
46,263171455,ROBBERY,40.626851,-74.163438,,
47,263175449,ROBBERY,40.568734,-74.113063,,
48,263247636,ROBBERY,40.639106,-74.079939,,
49,263401348,ROBBERY,40.603174,-74.131487,,
50,263528978,ROBBERY,40.647119,-74.088178,,
51,263463032,ROBBERY,40.638231,-74.078342,,
52,263481553,ROBBERY,40.641621,-74.081017,,
53,263649004,ROBBERY,40.629112,-74.114774,,
54,263608541,ROBBERY,40.618806,-74.082327,,
55,263748887,ROBBERY,40.52255,-74.234952,,
56,263839261H1,MURDER & NON-NEGL. MANSLAUGHTER,40.625903,-74.07637,,
57,263809069,ROBBERY,40.542072,-74.16306,,
58,277448172,RAPE,40.64472094,-74.07703272,,
