OBJECTID,Offense,Latitude,Longitude,facname,Public Area,Public Area (supergroup)
1,RAPE,40.81035186,-73.92494233,,,
2,ROBBERY,40.828667,-73.92545,,,
3,RAPE,40.83784212,-73.91962775,,,
4,RAPE,40.83784212,-73.91962775,,,
5,ROBBERY,40.83577855,-73.91647394,,,
6,RAPE,40.82227104,-73.91169778,,,
7,MURDER & NON-NEGL. MANSLAUGHTER,40.836258,-73.911326,,,
8,ROBBERY,40.864621,-73.908867,,,
9,ROBBERY,40.840367,-73.912897,,,
10,ROBBERY,40.872398,-73.90155,,,
11,RAPE,40.81620584,-73.89600119,,,
12,ROBBERY,40.825055,-73.877396,,,
13,ROBBERY,40.862297,-73.868466,,,
14,RAPE,40.82291231,-73.8700413,,,
15,ROBBERY,40.89341145,-73.85736207,,,
16,ROBBERY,40.832137,-73.854969,,,
17,ROBBERY,40.864393,-73.829709,,,
18,ROBBERY,40.822622,-73.930942,,,
19,ROBBERY,40.812805,-73.927085,,,
20,RAPE,40.82227104,-73.91169778,,,
21,ROBBERY,40.82405906,-73.89979939,,,
22,ROBBERY,40.868567,-73.894557,,,
23,ROBBERY,40.826247,-73.8909,,,
24,ROBBERY,40.823868,-73.891861,,,
25,ROBBERY,40.869851,-73.89139,,,
26,ROBBERY,40.82942,-73.887833,,,
27,ROBBERY,40.828621,-73.878703,,,
28,ROBBERY,40.833744,-73.868727,,,
29,ROBBERY,40.831422,-73.871105,,,
30,ROBBERY,40.854393,-73.86199682,,,
31,ROBBERY,40.820688,-73.868116,,,
32,ROBBERY,40.862669,-73.838473,,,
33,ROBBERY,40.87656812,-73.83724966,,,
34,ROBBERY,40.843022,-73.825159,,,
35,ROBBERY,40.8224573,-73.92691443,,,
36,ROBBERY,40.81511421,-73.92977291,,,
37,ROBBERY,40.83262824,-73.92537469,,,
38,ROBBERY,40.825285,-73.917538,,,
39,ROBBERY,40.816312,-73.917204,,,
40,ROBBERY,40.823205,-73.915361,,,
41,ROBBERY,40.815318,-73.915863,,,
42,ROBBERY,40.83338,-73.910044,,,
43,ROBBERY,40.81462177,-73.90857792,,,
44,ROBBERY,40.849719,-73.910908,,,
45,ROBBERY,40.86230939,-73.90986809,,,
46,ROBBERY,40.850298,-73.903968,,,
47,ROBBERY,40.82915105,-73.90042769,,,
48,ROBBERY,40.85702079,-73.90361413,,,
49,ROBBERY,40.856205,-73.890931,,,
50,ROBBERY,40.827006,-73.881666,,,
51,ROBBERY,40.839733,-73.872402,,,
52,ROBBERY,40.837545,-73.866825,,,
53,ROBBERY,40.863081,-73.86016,,,
54,ROBBERY,40.88880059,-73.85315128,,,
55,RAPE,40.83784212,-73.91962775,,,
