OBJECTID,Offense,Latitude,Longitude,facname,Public Area,Public Area (supergroup)
1,ROBBERY,40.643566,-74.074001,,,
2,ROBBERY,40.635961,-74.161365,,,
3,ROBBERY,40.643569,-74.098338,,,
4,ROBBERY,40.630408,-74.142977,,,
5,ROBBERY,40.630539,-74.076641,,,
6,ROBBERY,40.63713502,-74.12347311,,,
7,ROBBERY,40.643996,-74.076502,,,
8,ROBBERY,40.524027,-74.214885,,,
9,ROBBERY,40.634941,-74.086335,,,
10,ROBBERY,40.633764,-74.127213,,,
11,ROBBERY,40.63681,-74.11865,,,
12,ROBBERY,40.627054,-74.077144,,,
13,ROBBERY,40.6423,-74.081657,,,
14,ROBBERY,40.647119,-74.088178,,,
15,MURDER & NON-NEGL. MANSLAUGHTER,40.63325,-74.120539,,,
16,ROBBERY,40.64120901,-74.08290054,,,
17,ROBBERY,40.64184556,-74.08324005,,,
18,ROBBERY,40.606321,-74.065039,,,
19,ROBBERY,40.608453,-74.082436,,,
20,ROBBERY,40.5704668,-74.10976191,,,
21,RAPE,40.64472094,-74.07703272,,,
22,ROBBERY,40.626851,-74.163438,,,
23,ROBBERY,40.63776,-74.076476,,,
24,ROBBERY,40.637099,-74.087683,,,
25,ROBBERY,40.629262,-74.07943,,,
26,ROBBERY,40.571641,-74.09304,,,
27,ROBBERY,40.647119,-74.088178,,,
28,ROBBERY,40.639659,-74.097776,,,
29,ROBBERY,40.537482,-74.15026,,,
30,ROBBERY,40.63457814,-74.14583171,,,
31,ROBBERY,40.64322,-74.075921,,,
32,ROBBERY,40.591709,-74.067734,,,
33,RAPE,40.62318838,-74.14923769,,,
34,ROBBERY,40.634484,-74.118152,,,
35,ROBBERY,40.61381238,-74.10421438,,,
36,ROBBERY,40.613717,-74.084818,,,
37,ROBBERY,40.578185,-74.169648,,,
38,ROBBERY,40.607597,-74.121045,,,
39,ROBBERY,40.627286,-74.155636,,,
40,ROBBERY,40.598352,-74.065527,,,
41,ROBBERY,40.638224,-74.142515,,,
42,ROBBERY,40.643996,-74.076502,,,
43,ROBBERY,40.612118,-74.070003,,,
44,RAPE,40.51203825,-74.24975495,,,
45,ROBBERY,40.63457814,-74.14583171,,,
46,ROBBERY,40.626851,-74.163438,,,
47,ROBBERY,40.568734,-74.113063,,,
48,ROBBERY,40.639106,-74.079939,,,
49,ROBBERY,40.603174,-74.131487,,,
50,ROBBERY,40.647119,-74.088178,,,
51,ROBBERY,40.638231,-74.078342,,,
52,ROBBERY,40.641621,-74.081017,,,
53,ROBBERY,40.629112,-74.114774,,,
54,ROBBERY,40.618806,-74.082327,,,
55,ROBBERY,40.52255,-74.234952,,,
56,MURDER & NON-NEGL. MANSLAUGHTER,40.625903,-74.07637,,,
57,ROBBERY,40.542072,-74.16306,,,
58,RAPE,40.64472094,-74.07703272,,,
59,ROBBERY,40.598352,-74.065527,,,
60,ROBBERY,40.629112,-74.114774,,,
61,ROBBERY,40.63826949,-74.07878934,,,
62,ROBBERY,40.624951,-74.135996,,,
63,ROBBERY,40.614774,-74.083046,,,
64,ROBBERY,40.61547,-74.081663,,,
65,ROBBERY,40.623977,-74.081548,,,
66,ROBBERY,40.598611,-74.080986,,,
67,MURDER & NON-NEGL. MANSLAUGHTER,40.61495,-74.086649,,,
68,ROBBERY,40.60262,-74.093645,,,
69,ROBBERY,40.576915,-74.118241,,,
70,ROBBERY,40.643729,-74.072798,,,
71,ROBBERY,40.579862,-74.109586,,,
72,RAPE,40.64472094,-74.07703272,,,
73,ROBBERY,40.645434,-74.080804,,,
74,ROBBERY,40.621203,-74.083249,,,
75,ROBBERY,40.60306909,-74.14046189,,,
76,ROBBERY,40.638977,-74.171252,,,
77,MURDER & NON-NEGL. MANSLAUGHTER,40.558371,-74.197171,,,
78,ROBBERY,40.647682,-74.082631,,,
79,ROBBERY,40.63776,-74.076476,,,
80,RAPE,40.57428569,-74.10591441,,,
81,RAPE,40.62318838,-74.14923769,,,
82,ROBBERY,40.630831,-74.15648,,,
83,ROBBERY,40.616946,-74.082242,,,
84,ROBBERY,40.611389,-74.072738,,,
85,ROBBERY,40.60943,-74.087667,,,
86,ROBBERY,40.617789,-74.08110287,,,
87,ROBBERY,40.633478,-74.163424,,,
88,ROBBERY,40.623238,-74.149217,,,
89,ROBBERY,40.619505,-74.085952,,,
90,ROBBERY,40.63681,-74.11865,,,
91,ROBBERY,40.587909,-74.103003,,,
92,RAPE,40.64472094,-74.07703272,,,
93,ROBBERY,40.626345,-74.143613,,,
94,ROBBERY,40.641774,-74.077471,,,
95,MURDER & NON-NEGL. MANSLAUGHTER,40.61547,-74.081663,,,
96,ROBBERY,40.609236,-74.089041,,,
97,RAPE,40.64472094,-74.07703272,,,
98,RAPE,40.64472094,-74.07703272,,,
99,ROBBERY,40.638647,-74.086121,,,
100,ROBBERY,40.578987,-74.107952,,,
101,ROBBERY,40.64479282,-74.08028167,,,
102,ROBBERY,40.583176,-74.08545,,,
103,ROBBERY,40.628788,-74.14772,,,
104,ROBBERY,40.62211,-74.084062,,,
105,ROBBERY,40.602143,-74.120618,,,
106,MURDER & NON-NEGL. MANSLAUGHTER,40.644892,-74.088341,,,
107,RAPE,40.57428569,-74.10591441,,,
108,ROBBERY,40.575382,-74.104812,,,
109,ROBBERY,40.62246362,-74.07253516,,,
110,ROBBERY,40.588159,-74.166217,,,
111,ROBBERY,40.63778217,-74.07694038,,,
112,ROBBERY,40.61060312,-74.12158001,,,
113,ROBBERY,40.598227,-74.082759,,,
114,ROBBERY,40.628773,-74.122675,,,
115,ROBBERY,40.540923,-74.177901,,,
116,ROBBERY,40.627414,-74.076089,,,
117,MURDER & NON-NEGL. MANSLAUGHTER,40.627807,-74.079541,,,
118,ROBBERY,40.591056,-74.088105,,,
119,ROBBERY,40.5716115,-74.09417066,,,
120,ROBBERY,40.625819,-74.078759,,,
121,ROBBERY,40.631553,-74.146779,,,
122,ROBBERY,40.626237,-74.175155,,,
123,ROBBERY,40.642915,-74.094183,,,
124,ROBBERY,40.638142,-74.075912,,,
125,ROBBERY,40.644996,-74.077263,,,
126,ROBBERY,40.621969,-74.140115,,,
127,RAPE,40.62318838,-74.14923769,,,
128,ROBBERY,40.5913352,-74.06751454,,,
129,ROBBERY,40.63460864,-74.1580637,,,
130,ROBBERY,40.644797,-74.087278,,,
131,ROBBERY,40.625114,-74.077974,,,
132,ROBBERY,40.5449,-74.161376,,,
133,MURDER & NON-NEGL. MANSLAUGHTER,40.564004,-74.140759,,,
134,ROBBERY,40.645974,-74.078036,,,
135,RAPE,40.57428569,-74.10591441,,,
136,ROBBERY,40.617789,-74.08110287,,,
137,ROBBERY,40.624418,-74.139774,,,
138,ROBBERY,40.586252,-74.102717,,,
139,ROBBERY,40.575789,-74.127334,,,
140,RAPE,40.64472094,-74.07703272,,,
141,MURDER & NON-NEGL. MANSLAUGHTER,40.621409,-74.080076,,,
142,ROBBERY,40.527587,-74.191658,,,
143,ROBBERY,40.55195064,-74.15063524,,,
144,ROBBERY,40.623977,-74.081548,,,
145,ROBBERY,40.616191,-74.104035,,,
146,ROBBERY,40.623796,-74.073767,,,
147,ROBBERY,40.612712,-74.103037,,,
148,ROBBERY,40.634852,-74.084938,,,
149,ROBBERY,40.638977,-74.171252,,,
150,ROBBERY,40.63602442,-74.13477006,,,
151,ROBBERY,40.623713,-74.085106,,,
152,ROBBERY,40.60376856,-74.13156825,,,
153,RAPE,40.64472094,-74.07703272,,,
154,ROBBERY,40.626237,-74.175155,,,
155,ROBBERY,40.626133,-74.157252,,,
156,RAPE,40.57428569,-74.10591441,,,
157,RAPE,40.64472094,-74.07703272,,,
158,ROBBERY,40.575308,-74.12237,,,
159,ROBBERY,40.542057,-74.177447,,,
160,ROBBERY,40.639713,-74.088073,,,
161,RAPE,40.62318838,-74.14923769,,,
162,ROBBERY,40.63673589,-74.13428148,,,
163,ROBBERY,40.614918,-74.101409,,,
164,ROBBERY,40.527884,-74.227217,,,
165,ROBBERY,40.64322,-74.075921,,,
166,ROBBERY,40.619404,-74.084672,,,
167,ROBBERY,40.562163,-74.174358,,,
168,ROBBERY,40.63965233,-74.07550486,,,
169,ROBBERY,40.582305,-74.169067,,,
170,ROBBERY,40.62156431,-74.16848285,,,
171,ROBBERY,40.611323,-74.159715,,,
172,ROBBERY,40.625819,-74.078759,,,
173,ROBBERY,40.550145,-74.17089,,,
174,ROBBERY,40.613033,-74.123317,,,
175,ROBBERY,40.611647,-74.070934,,,
176,ROBBERY,40.626237,-74.175155,,,
177,ROBBERY,40.59535,-74.086097,,,
178,ROBBERY,40.63401,-74.16626,,,
179,ROBBERY,40.636249,-74.076013,,,
180,MURDER & NON-NEGL. MANSLAUGHTER,40.62676,-74.154365,,,
181,ROBBERY,40.63457814,-74.14583171,,,
182,ROBBERY,40.63776,-74.076476,,,
183,ROBBERY,40.635466,-74.127964,,,
184,ROBBERY,40.627141,-74.078302,,,
185,ROBBERY,40.619228,-74.069942,,,
186,ROBBERY,40.625382,-74.092682,,,
187,RAPE,40.57428569,-74.10591441,,,
188,ROBBERY,40.618583,-74.084877,,,
189,ROBBERY,40.63594,-74.089363,,,
190,ROBBERY,40.541776,-74.173318,,,
191,ROBBERY,40.636249,-74.076013,,,
192,ROBBERY,40.618806,-74.082327,,,
193,ROBBERY,40.635001,-74.169717,,,
194,ROBBERY,40.546678,-74.222482,,,
195,MURDER & NON-NEGL. MANSLAUGHTER,40.617024,-74.123601,,,
196,ROBBERY,40.62325194,-74.08382565,,,
197,ROBBERY,40.634484,-74.118152,,,
198,ROBBERY,40.548003,-74.226121,,,
199,ROBBERY,40.635466,-74.127964,,,
200,ROBBERY,40.603782,-74.08354,,,
201,RAPE,40.64472094,-74.07703272,,,
202,RAPE,40.64472094,-74.07703272,,,
203,ROBBERY,40.59535,-74.086097,,,
204,ROBBERY,40.59861136,-74.08075909,,,
205,ROBBERY,40.567358,-74.112884,,,
206,ROBBERY,40.626851,-74.163438,,,
207,ROBBERY,40.637067,-74.076204,,,
208,MURDER & NON-NEGL. MANSLAUGHTER,40.636323,-74.157967,,,
209,ROBBERY,40.597176,-74.085176,,,
210,ROBBERY,40.62166,-74.071903,,,
211,ROBBERY,40.62873698,-74.07447658,,,
212,MURDER & NON-NEGL. MANSLAUGHTER,40.64015888,-74.13171207,,,
213,ROBBERY,40.50936,-74.247188,,,
214,ROBBERY,40.624707,-74.162813,,,
215,ROBBERY,40.632336,-74.146537,,,
216,ROBBERY,40.601727,-74.192701,,,
217,ROBBERY,40.540629,-74.17661,,,
218,ROBBERY,40.623238,-74.149217,,,
219,ROBBERY,40.6236888,-74.15065779,,,
220,ROBBERY,40.640274,-74.134809,,,
221,MURDER & NON-NEGL. MANSLAUGHTER,40.644294,-74.098423,,,
222,ROBBERY,40.645434,-74.080804,,,
223,ROBBERY,40.61243853,-74.13230569,,,
224,ROBBERY,40.632165,-74.141903,,,
225,ROBBERY,40.625526,-74.135102,,,
226,ROBBERY,40.604079,-74.128414,,,
227,ROBBERY,40.633098,-74.086445,,,
228,ROBBERY,40.634688,-74.115874,,,
229,ROBBERY,40.596053,-74.062071,,,
230,ROBBERY,40.549539,-74.150735,,,
231,ROBBERY,40.638222,-74.079249,,,
232,ROBBERY,40.63776,-74.076476,,,
233,ROBBERY,40.59603,-74.080232,,,
234,ROBBERY,40.625247,-74.144534,,,
235,ROBBERY,40.63666,-74.12975,,,
236,ROBBERY,40.59426476,-74.07907949,,,
237,ROBBERY,40.637813,-74.079688,,,
238,ROBBERY,40.629876,-74.076705,,,
239,ROBBERY,40.575382,-74.104812,,,
240,ROBBERY,40.60211212,-74.18783328,,,
241,ROBBERY,40.636139,-74.112523,,,
242,ROBBERY,40.625819,-74.078759,,,
243,ROBBERY,40.640659,-74.131333,,,
244,ROBBERY,40.623977,-74.081548,,,
245,ROBBERY,40.616325,-74.172339,,,
246,ROBBERY,40.623933,-74.123371,,,
247,MURDER & NON-NEGL. MANSLAUGHTER,40.638977,-74.171252,,,
248,ROBBERY,40.62653009,-74.16050147,,,
249,RAPE,40.57428569,-74.10591441,,,
250,ROBBERY,40.636706,-74.145174,,,
251,RAPE,40.62318838,-74.14923769,,,
252,ROBBERY,40.638005,-74.133351,,,
253,ROBBERY,40.638142,-74.075912,,,
254,ROBBERY,40.635775,-74.139329,,,
255,ROBBERY,40.643566,-74.074001,,,
256,ROBBERY,40.6130779,-74.12255699,,,
257,ROBBERY,40.63965233,-74.07550486,,,
258,ROBBERY,40.633098,-74.086445,,,
259,ROBBERY,40.628448,-74.14603,,,
260,ROBBERY,40.625462,-74.151743,,,
261,ROBBERY,40.626851,-74.163438,,,
262,ROBBERY,40.566913,-74.10553,,,
263,ROBBERY,40.582305,-74.169067,,,
264,ROBBERY,40.604188,-74.12076,,,
