OBJECTID,Offense,Latitude,Longitude,facname,Public Area,Public Area (supergroup)
1,ROBBERY,40.73975138,-74.00252241,,,
2,RAPE,40.73389676,-74.00539584,,,
3,ROBBERY,40.717274,-74.004902,,,
4,ROBBERY,40.735617,-74.000539,,,
5,ROBBERY,40.754372,-73.995585,,,
6,ROBBERY,40.741928,-73.993512,,,
7,ROBBERY,40.720656,-73.988061,,,
8,RAPE,40.78425198,-73.97489767,,,
9,ROBBERY,40.751594,-73.972382,,,
10,ROBBERY,40.817762,-73.955493,,,
11,ROBBERY,40.807639,-73.951162,,,
12,ROBBERY,40.817591,-73.938313,,,
13,ROBBERY,40.833452,-73.935448,,,
14,ROBBERY,40.73066902,-73.99885262,,,
15,ROBBERY,40.744633,-74.004538,,,
16,ROBBERY,40.755308,-73.99305,,,
17,ROBBERY,40.760328,-73.993105,,,
18,ROBBERY,40.778794,-73.98205472,,,
19,ROBBERY,40.803868,-73.966921,,,
20,ROBBERY,40.780515,-73.960111,,,
21,ROBBERY,40.806115,-73.94561,,,
22,ROBBERY,40.805404,-73.94196,,,
23,ROBBERY,40.80890505,-73.93833712,,,
24,ROBBERY,40.858795,-73.931549,,,
25,ROBBERY,40.743765,-73.995887,,,
26,ROBBERY,40.723628,-73.998298,,,
27,ROBBERY,40.712911,-73.995788,,,
28,ROBBERY,40.75228073,-73.98969188,,,
29,ROBBERY,40.71055802,-73.99414219,,,
30,ROBBERY,40.748656,-73.988108,,,
31,ROBBERY,40.747463,-73.985271,,,
32,ROBBERY,40.75484094,-73.98411854,,,
33,ROBBERY,40.75215974,-73.98749024,,,
34,ROBBERY,40.727885,-73.985076,,,
35,ROBBERY,40.764528,-73.970727,,,
36,ROBBERY,40.779159,-73.954784,,,
37,ROBBERY,40.796333,-73.941197,,,
38,ROBBERY,40.808538,-73.936489,,,
39,ROBBERY,40.858057,-73.93193,,,
40,ROBBERY,40.864128,-73.919179,,,
41,ROBBERY,40.862163,-73.919392,,,
42,ROBBERY,40.732682,-74.004719,,,
43,ROBBERY,40.731003,-73.982813,,,
44,ROBBERY,40.718403,-73.985418,,,
45,ROBBERY,40.721522,-73.982265,,,
46,ROBBERY,40.714767,-73.982727,,,
47,ROBBERY,40.79335023,-73.9727331,,,
48,ROBBERY,40.75368,-73.974419,,,
49,ROBBERY,40.815887,-73.960639,,,
50,ROBBERY,40.868119,-73.924978,,,
51,ROBBERY,40.873944,-73.908788,,,
