OBJECTID,Offense,BORO_NM,Latitude,Longitude
88,ROBBERY,STATEN ISLAND,40.643566,-74.074001
100,ROBBERY,MANHATTAN,40.73975138,-74.00252241
114,RAPE,MANHATTAN,40.73389676,-74.00539584
170,ROBBERY,MANHATTAN,40.717274,-74.004902
180,RAPE,BROOKLYN,40.65815775,-74.00044115
185,ROBBERY,MANHATTAN,40.735617,-74.000539
190,ROBBERY,MANHATTAN,40.754372,-73.995585
221,ROBBERY,MANHATTAN,40.741928,-73.993512
261,ROBBERY,BROOKLYN,40.605049,-73.990582
287,ROBBERY,BROOKLYN,40.575023,-73.98988
307,ROBBERY,MANHATTAN,40.720656,-73.988061
316,ROBBERY,BROOKLYN,40.589863,-73.983958
432,RAPE,MANHATTAN,40.78425198,-73.97489767
433,ROBBERY,MANHATTAN,40.751594,-73.972382
455,ROBBERY,BROOKLYN,40.629252,-73.965003
491,ROBBERY,BROOKLYN,40.598782,-73.956867
495,ROBBERY,BROOKLYN,40.64946,-73.958482
502,RAPE,BROOKLYN,40.59401906,-73.96085432
530,ROBBERY,BROOKLYN,40.688832,-73.957177
570,RAPE,QUEENS,40.7431246,-73.95606807
571,ROBBERY,MANHATTAN,40.817762,-73.955493
575,ROBBERY,MANHATTAN,40.807639,-73.951162
641,ROBBERY,BROOKLYN,40.655711,-73.945257
644,RAPE,BROOKLYN,40.6890014,-73.94502653
664,ROBBERY,QUEENS,40.755442,-73.941645
688,ROBBERY,MANHATTAN,40.817591,-73.938313
689,ROBBERY,BROOKLYN,40.679662,-73.936135
713,ROBBERY,BROOKLYN,40.67682,-73.934538
726,ROBBERY,BROOKLYN,40.668463,-73.933935
755,ROBBERY,MANHATTAN,40.833452,-73.935448
775,ROBBERY,BROOKLYN,40.620162,-73.933508
798,RAPE,BRONX,40.81035186,-73.92494233
836,ROBBERY,BRONX,40.828667,-73.92545
850,ROBBERY,QUEENS,40.763911,-73.926024
870,RAPE,BRONX,40.83784212,-73.91962775
876,ROBBERY,BROOKLYN,40.681753,-73.924165
879,ROBBERY,BROOKLYN,40.661934,-73.921029
886,RAPE,BRONX,40.83784212,-73.91962775
894,ROBBERY,BROOKLYN,40.644519,-73.919929
917,ROBBERY,BRONX,40.83577855,-73.91647394
931,RAPE,QUEENS,40.76949512,-73.91502417
959,RAPE,BRONX,40.82227104,-73.91169778
981,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.836258,-73.911326
997,ROBBERY,BRONX,40.864621,-73.908867
1009,ROBBERY,BRONX,40.840367,-73.912897
1078,ROBBERY,BROOKLYN,40.67412041,-73.89838796
1120,ROBBERY,BRONX,40.872398,-73.90155
1160,RAPE,BRONX,40.81620584,-73.89600119
1245,RAPE,QUEENS,40.75656758,-73.87593153
1270,ROBBERY,BRONX,40.825055,-73.877396
1275,ROBBERY,BROOKLYN,40.66766493,-73.87368753
1298,ROBBERY,QUEENS,40.75326365,-73.86444773
1310,ROBBERY,BRONX,40.862297,-73.868466
1319,RAPE,BRONX,40.82291231,-73.8700413
1363,ROBBERY,BRONX,40.89341145,-73.85736207
1376,ROBBERY,QUEENS,40.75177,-73.855195
1429,ROBBERY,BRONX,40.832137,-73.854969
1448,ROBBERY,BRONX,40.864393,-73.829709
1610,RAPE,QUEENS,40.67998074,-73.77623391
1661,ROBBERY,STATEN ISLAND,40.635961,-74.161365
1708,ROBBERY,STATEN ISLAND,40.643569,-74.098338
1720,ROBBERY,BROOKLYN,40.618118,-74.029738
1763,ROBBERY,MANHATTAN,40.73066902,-73.99885262
1777,ROBBERY,MANHATTAN,40.744633,-74.004538
1807,ROBBERY,MANHATTAN,40.755308,-73.99305
1822,ROBBERY,MANHATTAN,40.760328,-73.993105
1931,ROBBERY,MANHATTAN,40.778794,-73.98205472
1953,ROBBERY,BROOKLYN,40.588374,-73.970288
1985,ROBBERY,BROOKLYN,40.673237,-73.964989
2003,ROBBERY,MANHATTAN,40.803868,-73.966921
2008,ROBBERY,MANHATTAN,40.780515,-73.960111
2069,ROBBERY,BROOKLYN,40.592463,-73.95278
2075,ROBBERY,BROOKLYN,40.593812,-73.950353
2089,ROBBERY,BROOKLYN,40.710931,-73.951379
2101,RAPE,BROOKLYN,40.70654839,-73.95040063
2106,ROBBERY,MANHATTAN,40.806115,-73.94561
2172,ROBBERY,MANHATTAN,40.805404,-73.94196
2194,ROBBERY,BROOKLYN,40.7007255,-73.94193187
2207,ROBBERY,BROOKLYN,40.619717,-73.938768
2232,ROBBERY,MANHATTAN,40.80890505,-73.93833712
2257,ROBBERY,BRONX,40.822622,-73.930942
2288,ROBBERY,MANHATTAN,40.858795,-73.931549
2300,ROBBERY,BROOKLYN,40.63068831,-73.9252042
2304,ROBBERY,QUEENS,40.743537,-73.921946
2328,ROBBERY,BRONX,40.812805,-73.927085
2382,ROBBERY,QUEENS,40.768408,-73.911311
2407,RAPE,BRONX,40.82227104,-73.91169778
2480,ROBBERY,BRONX,40.82405906,-73.89979939
2491,ROBBERY,BRONX,40.868567,-73.894557
2535,ROBBERY,BRONX,40.826247,-73.8909
2539,ROBBERY,BRONX,40.823868,-73.891861
2558,ROBBERY,BRONX,40.869851,-73.89139
2564,ROBBERY,BRONX,40.82942,-73.887833
2566,ROBBERY,QUEENS,40.746713,-73.884707
2609,ROBBERY,BRONX,40.828621,-73.878703
2619,RAPE,BROOKLYN,40.67135982,-73.88181102
2622,ROBBERY,BROOKLYN,40.666646,-73.882081
2626,ROBBERY,BRONX,40.833744,-73.868727
2664,ROBBERY,BRONX,40.831422,-73.871105
2671,ROBBERY,BROOKLYN,40.68065246,-73.86574906
2673,ROBBERY,BRONX,40.854393,-73.86199682
2681,ROBBERY,QUEENS,40.729936,-73.859672
2682,ROBBERY,BRONX,40.820688,-73.868116
2691,ROBBERY,QUEENS,40.68148451,-73.85047828
2724,ROBBERY,QUEENS,40.7301124,-73.86508294
2745,ROBBERY,BRONX,40.862669,-73.838473
2757,ROBBERY,QUEENS,40.684386,-73.848956
2783,ROBBERY,BRONX,40.87656812,-73.83724966
2818,ROBBERY,QUEENS,40.691612,-73.833498
2820,ROBBERY,BRONX,40.843022,-73.825159
2886,ROBBERY,QUEENS,40.688984,-73.802421
2900,ROBBERY,QUEENS,40.76226003,-73.75698278
2907,ROBBERY,QUEENS,40.592247,-73.763953
2922,ROBBERY,QUEENS,40.596202,-73.763912
2962,ROBBERY,STATEN ISLAND,40.630408,-74.142977
3021,ROBBERY,BROOKLYN,40.637007,-74.028469
3097,RAPE,BROOKLYN,40.65815775,-74.00044115
3101,ROBBERY,MANHATTAN,40.743765,-73.995887
3116,ROBBERY,MANHATTAN,40.723628,-73.998298
3133,ROBBERY,MANHATTAN,40.712911,-73.995788
3143,ROBBERY,MANHATTAN,40.75228073,-73.98969188
3144,ROBBERY,BROOKLYN,40.63239235,-73.99529114
3160,ROBBERY,MANHATTAN,40.71055802,-73.99414219
3181,ROBBERY,MANHATTAN,40.748656,-73.988108
3213,ROBBERY,MANHATTAN,40.747463,-73.985271
3224,ROBBERY,MANHATTAN,40.75484094,-73.98411854
3247,ROBBERY,MANHATTAN,40.75215974,-73.98749024
3267,ROBBERY,MANHATTAN,40.727885,-73.985076
3303,ROBBERY,BROOKLYN,40.655506,-73.973928
3317,ROBBERY,BROOKLYN,40.577258,-73.976436
3318,ROBBERY,MANHATTAN,40.764528,-73.970727
3352,ROBBERY,BROOKLYN,40.578591,-73.961822
3375,ROBBERY,BROOKLYN,40.647959,-73.959548
3399,ROBBERY,BROOKLYN,40.703693,-73.956029
3424,ROBBERY,MANHATTAN,40.779159,-73.954784
3464,ROBBERY,BROOKLYN,40.635133,-73.947894
3538,ROBBERY,MANHATTAN,40.796333,-73.941197
3545,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.70391439,-73.94089398
3583,ROBBERY,MANHATTAN,40.808538,-73.936489
3617,ROBBERY,MANHATTAN,40.858057,-73.93193
3652,ROBBERY,BRONX,40.8224573,-73.92691443
3665,ROBBERY,BRONX,40.81511421,-73.92977291
3667,ROBBERY,BRONX,40.83262824,-73.92537469
3705,ROBBERY,BROOKLYN,40.671683,-73.918326
3713,ROBBERY,MANHATTAN,40.864128,-73.919179
3720,ROBBERY,BRONX,40.825285,-73.917538
3726,ROBBERY,BRONX,40.816312,-73.917204
3759,ROBBERY,MANHATTAN,40.862163,-73.919392
3760,ROBBERY,BRONX,40.823205,-73.915361
3763,ROBBERY,BRONX,40.815318,-73.915863
3789,ROBBERY,BRONX,40.83338,-73.910044
3790,ROBBERY,QUEENS,40.75783687,-73.913305
3838,ROBBERY,BRONX,40.81462177,-73.90857792
3843,ROBBERY,BRONX,40.849719,-73.910908
3846,ROBBERY,BRONX,40.86230939,-73.90986809
3871,ROBBERY,BRONX,40.850298,-73.903968
3907,ROBBERY,BRONX,40.82915105,-73.90042769
3910,ROBBERY,BRONX,40.85702079,-73.90361413
3996,ROBBERY,BRONX,40.856205,-73.890931
4017,ROBBERY,BRONX,40.827006,-73.881666
4018,RAPE,BROOKLYN,40.67135982,-73.88181102
4070,ROBBERY,BRONX,40.839733,-73.872402
4085,RAPE,QUEENS,40.74348126,-73.87400354
4088,ROBBERY,QUEENS,40.760096,-73.868984
4093,ROBBERY,QUEENS,40.750846,-73.869386
4105,ROBBERY,BROOKLYN,40.668249,-73.869681
4111,ROBBERY,QUEENS,40.739447,-73.864982
4127,ROBBERY,BRONX,40.837545,-73.866825
4152,ROBBERY,BRONX,40.863081,-73.86016
4171,ROBBERY,BRONX,40.88880059,-73.85315128
4176,ROBBERY,QUEENS,40.68031491,-73.84201904
4258,ROBBERY,QUEENS,40.742324,-73.815331
4332,ROBBERY,QUEENS,40.707233,-73.802508
4410,ROBBERY,QUEENS,40.598483,-73.74389
4454,ROBBERY,STATEN ISLAND,40.630539,-74.076641
4551,ROBBERY,MANHATTAN,40.732682,-74.004719
4604,ROBBERY,BROOKLYN,40.6459461,-73.99509559
4706,ROBBERY,MANHATTAN,40.731003,-73.982813
4707,ROBBERY,MANHATTAN,40.718403,-73.985418
4739,ROBBERY,BROOKLYN,40.685705,-73.981681
4760,ROBBERY,MANHATTAN,40.721522,-73.982265
4770,ROBBERY,MANHATTAN,40.714767,-73.982727
4781,ROBBERY,BROOKLYN,40.68297089,-73.976665
4787,ROBBERY,BROOKLYN,40.68211726,-73.97659679
4802,ROBBERY,MANHATTAN,40.79335023,-73.9727331
4822,ROBBERY,MANHATTAN,40.75368,-73.974419
4831,ROBBERY,MANHATTAN,40.815887,-73.960639
4847,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.634786,-73.97388
4920,RAPE,QUEENS,40.7431246,-73.95606807
4925,ROBBERY,BROOKLYN,40.718854,-73.953432
4929,ROBBERY,BROOKLYN,40.708666,-73.958578
4953,ROBBERY,BROOKLYN,40.706753,-73.949301
4997,ROBBERY,BROOKLYN,40.71453893,-73.95170267
5138,ROBBERY,BROOKLYN,40.67596844,-73.93322535
5206,ROBBERY,BROOKLYN,40.69256291,-73.92798357
5218,ROBBERY,MANHATTAN,40.868119,-73.924978
5234,ROBBERY,BROOKLYN,40.663561,-73.922839
5260,RAPE,BRONX,40.83784212,-73.91962775
5280,ROBBERY,BROOKLYN,40.693663,-73.917385
5310,RAPE,BROOKLYN,40.67113,-73.91350206
5311,ROBBERY,BRONX,40.834324,-73.917174
5317,ROBBERY,QUEENS,40.752425,-73.91494
5325,ROBBERY,QUEENS,40.762606,-73.916041
5330,ROBBERY,BROOKLYN,40.694709,-73.915185
5351,ROBBERY,BROOKLYN,40.675462,-73.909598
5352,ROBBERY,BROOKLYN,40.69835075,-73.9110238
5368,ROBBERY,BRONX,40.873944,-73.908788
5371,ROBBERY,BRONX,40.8596097,-73.90777498
5421,ROBBERY,BRONX,40.836551,-73.90244
5455,ROBBERY,BROOKLYN,40.65911269,-73.89921817
5466,ROBBERY,BROOKLYN,40.64513343,-73.90231306
5530,ROBBERY,BRONX,40.820137,-73.892278
5554,ROBBERY,BROOKLYN,40.659756,-73.892057
5593,ROBBERY,QUEENS,40.704218,-73.8767
5667,ROBBERY,BRONX,40.828867,-73.865667
5678,ROBBERY,QUEENS,40.75744192,-73.86746404
5713,ROBBERY,QUEENS,40.745957,-73.868175
5719,ROBBERY,BRONX,40.825781,-73.863538
5817,ROBBERY,BRONX,40.904557,-73.849717
5832,ROBBERY,BRONX,40.902763,-73.850945
5900,ROBBERY,QUEENS,40.728375,-73.814941
5944,RAPE,QUEENS,40.73011307,-73.81090891
5945,ROBBERY,QUEENS,40.68135,-73.772659
5968,ROBBERY,QUEENS,40.705644,-73.794427
