OBJECTID,facname,Public Area,Public Area (supergroup),boro,Latitude,Longitude
2,ST. LUKE'S PARK,GARDENS,PARKS AND PLAZAS,BRONX,40.80563735,-73.91538428
3,IRVING SQUARE PARK,PARKS,PARKS AND PLAZAS,BROOKLYN,40.6924428,-73.90918444
5,GRAVESEND LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.5906025,-73.9717539
6,JACKSON HEIGHTS,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.75020165,-73.88506857
7,SOUNDVIEW LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BRONX,40.8187075,-73.86288913
9,AUBURNDALE,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.77375075,-73.79634885
15,BRADHURST AVE GARDEN,GARDENS,PARKS AND PLAZAS,MANHATTAN,40.82766577,-73.93932631
22,DEKALB LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6947857,-73.9284044
32,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.72875803,-73.87927298
35,POMONOK,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.73303298,-73.80987895
36,MIDWOOD LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6248494,-73.9643882
41,UNITED COMMUNITY CENTERS YOUTH FARM,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.65969661,-73.90787579
52,DAMROSCH PARK,PARKS,PARKS AND PLAZAS,MANHATTAN,40.77221286,-73.98499396
54,SEASIDE WILDLIFE NATURE PARK,PARKS,PARKS AND PLAZAS,STATEN ISLAND,40.54013313,-74.1417706
61,CORONA,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.75089038,-73.86198024
64,HORSESHOE PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BRONX,40.82412122,-73.89769157
65,BAYCHESTER LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BRONX,40.87027777,-73.82861053
66,FARMERS GARDEN,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.67460729,-73.91821912
72,CHELSEA PARK,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,MANHATTAN,40.74994165,-74.00072826
73,CADMAN PLAZA PARK,PARKS,PARKS AND PLAZAS,BROOKLYN,40.69844344,-73.99062617
77,ESTELLA DIGGS PARK,PARKS,PARKS AND PLAZAS,BRONX,40.82893819,-73.90617737
81,MIDLAND MALLS,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.71714593,-73.78411476
82,SOUTH JAMAICA,PUBLIC LIBRARIES,LIBRARIES,QUEENS,40.69563016,-73.79017747
86,METROPOLITAN TOWER,PRIVATELY OWNED PUBLIC SPACE,PARKS AND PLAZAS,MANHATTAN,40.76480065,-73.97923836
87,NORELLI-HARGREAVES PLAYGROUND,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,QUEENS,40.69017934,-73.80873758
90,BEL CANTO,PRIVATELY OWNED PUBLIC SPACE,PARKS AND PLAZAS,MANHATTAN,40.77527793,-73.98263755
91,"733 PARK AVENUE, NEW YORK, NY 10021",PRIVATELY OWNED PUBLIC SPACE,PARKS AND PLAZAS,MANHATTAN,40.77008343,-73.96411788
