OBJECTID,Borough,Latitude,Longitude,Public Area
1,STATEN ISLAND,40.56387209,-74.132656,HOME CARE/ATTENDANT/MAKER AND HOUSEKEEPING SERVICES
2,STATEN ISLAND,40.58290659,-74.07853901,OUTPATIENT MENTAL HEALTH
3,STATEN ISLAND,40.54513258,-74.14269934,DAY CARE
4,STATEN ISLAND,40.54013313,-74.1417706,NEIGHBORHOOD PARK
5,STATEN ISLAND,40.51218994,-74.22243431,FEEDING SITE
6,STATEN ISLAND,40.530764,-74.222539,COMPOST
7,STATEN ISLAND,40.61453272,-74.07418481,NEIGHBORHOOD PARK
8,STATEN ISLAND,40.515697,-74.091102,PORT OR MARINE TERMINAL
9,STATEN ISLAND,40.54746661,-74.1522948,ELEMENTARY SCHOOL - PUBLIC
10,STATEN ISLAND,40.6337035,-74.14217077,COMPOST
11,STATEN ISLAND,40.59218523,-74.08732547,TEXTILES
12,STATEN ISLAND,40.59213213,-74.13425286,MOBILE HOSPITAL EXTENSION CLINIC
13,STATEN ISLAND,40.630894,-74.101013,TEXTILES
14,STATEN ISLAND,40.635395,-74.145073,RAIL LINE
15,STATEN ISLAND,40.53846939,-74.24120218,TOW TRUCK COMPANY
16,STATEN ISLAND,40.57382502,-74.10891136,ELEMENTARY SCHOOL - PUBLIC
17,STATEN ISLAND,40.6420463,-74.0773348,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC
18,STATEN ISLAND,40.641276,-74.078249,BOROUGH OFFICE
19,STATEN ISLAND,40.59191901,-74.1516813,HELIPORT
20,STATEN ISLAND,40.645005,-74.100216,RAIL LINE
21,STATEN ISLAND,40.54958808,-74.1530964,SUMMER ONLY FEEDING SITE
22,STATEN ISLAND,40.51039165,-74.23040501,JOINTLY OPERATED PLAYGROUND
23,STATEN ISLAND,40.6424,-74.075958,OFFICE
24,STATEN ISLAND,40.53258393,-74.23778467,STATE HISTORIC PLACE
25,STATEN ISLAND,40.64277,-74.077256,OFFICE
26,STATEN ISLAND,40.58047422,-74.13075711,ENRICHED HOUSING PROGRAM
27,STATEN ISLAND,40.63605484,-74.12737766,TOW TRUCK COMPANY
28,STATEN ISLAND,40.63562531,-74.12754388,VDF
29,STATEN ISLAND,40.62693537,-74.07827101,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC
30,STATEN ISLAND,40.59580191,-74.06302664,PUBLIC LIBRARY
31,STATEN ISLAND,40.51039165,-74.23040501,ELEMENTARY SCHOOL - PUBLIC
32,STATEN ISLAND,40.59255,-74.134517,FIELD OFFICE-STAFF
33,STATEN ISLAND,40.605841,-74.178826,AGENCY EXECUTIVE OFFICE
34,STATEN ISLAND,40.62131623,-74.15115449,TEXTILES
35,STATEN ISLAND,40.511796,-74.250033,POLICE STATION
36,STATEN ISLAND,40.573902,-74.165825,GARAGE
37,STATEN ISLAND,40.61151906,-74.18692771,CONSTRUCTION AND DEMOLITION PROCESSING
38,STATEN ISLAND,40.6353863,-74.13488528,DIAGNOSTIC AND TREATMENT CENTER
39,STATEN ISLAND,40.59039493,-74.10113836,PUBLIC LIBRARY
40,STATEN ISLAND,40.64405138,-74.10175503,LEAF
41,STATEN ISLAND,40.64277,-74.077256,BOROUGH OFFICE
42,STATEN ISLAND,40.63216003,-74.13726009,SUMMER ONLY FEEDING SITE
43,STATEN ISLAND,40.63315852,-74.16210007,SATELLITE SITE FOR STUDENTS WITH DISABILITIES
44,STATEN ISLAND,40.634169,-74.152568,RAIL LINE
45,STATEN ISLAND,40.597118,-74.068521,TEXTILES
46,STATEN ISLAND,40.59887953,-74.08060596,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC
47,STATEN ISLAND,40.60372131,-74.13132319,REGISTERED BUSINESS SCHOOLS
48,STATEN ISLAND,40.552561,-74.222676,PORT OR MARINE TERMINAL
49,STATEN ISLAND,40.57084576,-74.13291223,ELEMENTARY SCHOOL - PUBLIC
50,STATEN ISLAND,40.57232323,-74.10700747,TEXTILES
51,STATEN ISLAND,40.59716844,-74.08421982,PRE-SCHOOL FOR STUDENTS WITH DISABILITIES
52,STATEN ISLAND,40.634855,-74.074894,NYCT MAINTENANCE AND OTHER FACILITY
53,STATEN ISLAND,40.53973,-74.178171,TRANSPORTATION FACILITY
54,STATEN ISLAND,40.59869409,-74.12262247,SUMMER ONLY FEEDING SITE
55,STATEN ISLAND,40.58630185,-74.08610758,HOSPITAL EXTENSION CLINIC
56,STATEN ISLAND,40.594729,-74.190924,POLLUTION CONTROL FACILITY
57,STATEN ISLAND,40.633904,-74.155626,RAIL LINE
58,STATEN ISLAND,40.61312857,-74.06911937,ELEMENTARY SCHOOL - PUBLIC
59,STATEN ISLAND,40.63454277,-74.07730927,DSNY GARAGE
60,STATEN ISLAND,40.63874795,-74.0838988,NEIGHBORHOOD PARK
61,STATEN ISLAND,40.6365637,-74.16047118,NEIGHBORHOOD PARK
62,STATEN ISLAND,40.60067272,-74.1774557,TOW TRUCK COMPANY
63,STATEN ISLAND,40.621223,-74.06828,AGENCY OFFICE
64,STATEN ISLAND,40.57626674,-74.20338144,NATURE AREA
65,STATEN ISLAND,40.64129499,-74.07811836,LICENSED PRIVATE SCHOOLS
66,STATEN ISLAND,40.60869014,-74.11957807,NEIGHBORHOOD PARK
67,STATEN ISLAND,40.63929738,-74.12093436,CEMETERY
68,STATEN ISLAND,40.634109,-74.148392,RAIL LINE
69,STATEN ISLAND,40.60254278,-74.09092783,ELEMENTARY SCHOOL - PUBLIC
70,STATEN ISLAND,40.64058957,-74.13245099,SUMMER ONLY FEEDING SITE
71,STATEN ISLAND,40.640487,-74.076237,AGENCY OFFICE
72,STATEN ISLAND,40.55843809,-74.15512442,ELEMENTARY SCHOOL - PUBLIC
73,STATEN ISLAND,40.52778382,-74.23715952,TOW TRUCK COMPANY
74,STATEN ISLAND,40.633452,-74.148661,TEXTILES
75,STATEN ISLAND,40.634264,-74.149182,RAIL LINE
76,STATEN ISLAND,40.64405138,-74.10175503,MUSEUM
77,STATEN ISLAND,40.63735823,-74.14661911,TOW TRUCK COMPANY
78,STATEN ISLAND,40.64576284,-74.09051065,TOW TRUCK COMPANY
79,STATEN ISLAND,40.56487687,-74.09480151,STATE HISTORIC PLACE
80,STATEN ISLAND,40.64048032,-74.07624708,COMMERCIAL GARAGE
81,STATEN ISLAND,40.62561833,-74.07714041,GED-ALTERNATIVE HIGH SCHOOL EQUIVALENCY PREP PROGRAMS
82,STATEN ISLAND,40.53458933,-74.235823,TOW TRUCK COMPANY
83,STATEN ISLAND,40.64326724,-74.07756163,NYC BUSINESS SOLUTIONS CENTER
84,STATEN ISLAND,40.56845256,-74.19389048,SPECIAL WASTE
85,STATEN ISLAND,40.59213213,-74.13425286,SUMMER ONLY FEEDING SITE
86,STATEN ISLAND,40.533642,-74.153533,PUMPING STATION
87,STATEN ISLAND,40.63343267,-74.12674354,TOW TRUCK COMPANY
88,STATEN ISLAND,40.57604963,-74.12418679,DANCE
89,STATEN ISLAND,40.61342635,-74.09950235,ELEMENTARY SCHOOL - PUBLIC
90,STATEN ISLAND,40.57593287,-74.14674032,STATE HISTORIC PLACE
91,STATEN ISLAND,40.596998,-74.191931,RAIL LINE
92,STATEN ISLAND,40.575904,-74.09677,COMPOST
93,STATEN ISLAND,40.54540129,-74.14623292,SUMMER ONLY FEEDING SITE
94,STATEN ISLAND,40.63998976,-74.07701418,PUBLIC PARKING
95,STATEN ISLAND,40.56494122,-74.13167248,TEXTILES
96,STATEN ISLAND,40.52690108,-74.16361518,GARDEN
97,STATEN ISLAND,40.62542445,-74.075566,"MULTI-DISCIPL, PERF & NON-PERF"
98,STATEN ISLAND,40.53839631,-74.18713697,PLAYGROUND
99,STATEN ISLAND,40.640659,-74.077196,AGENCY OFFICE
100,STATEN ISLAND,40.640487,-74.076237,AGENCY OFFICE
101,STATEN ISLAND,40.621811,-74.071569,NYCT SUBWAY YARD
102,STATEN ISLAND,40.588718,-74.096838,PUBLIC PARK AND RIDE LOT
103,STATEN ISLAND,40.5266,-74.229776,OFFICE
