OBJECTID,Offense,BORO_NM,Latitude,Longitude,geometry
180,RAPE,BROOKLYN,40.65815775,-74.00044115,POINT (4526045.41732259 -12515723.37864013)
261,ROBBERY,BROOKLYN,40.605049,-73.990582,POINT (4520133.378315923 -12511742.72864198)
287,ROBBERY,BROOKLYN,40.575023,-73.98988,POINT (4516790.899285364 -12511459.38589757)
316,ROBBERY,BROOKLYN,40.589863,-73.983958,POINT (4518442.880528735 -12509069.61698216)
455,ROBBERY,BROOKLYN,40.629252,-73.965003,POINT (4522827.643951592 -12501426.28092046)
491,ROBBERY,BROOKLYN,40.598782,-73.956867,POINT (4519435.73906712 -12498148.2521433)
495,ROBBERY,BROOKLYN,40.64946,-73.958482,POINT (4525077.188221542 -12498798.81367834)
502,RAPE,BROOKLYN,40.59401906,-73.96085432,POINT (4518905.531011642 -12499754.55790496)
530,ROBBERY,BROOKLYN,40.688832,-73.957177,POINT (4529460.059213055 -12498273.12278645)
641,ROBBERY,BROOKLYN,40.655711,-73.945257,POINT (4525773.04635849 -12493473.33604086)
644,RAPE,BROOKLYN,40.6890014,-73.94502653,POINT (4529478.916734796 -12493380.56765039)
689,ROBBERY,BROOKLYN,40.679662,-73.936135,POINT (4528439.259482481 -12489802.5538196)
713,ROBBERY,BROOKLYN,40.67682,-73.934538,POINT (4528122.889489646 -12489160.11413657)
726,ROBBERY,BROOKLYN,40.668463,-73.933935,POINT (4527192.592505087 -12488917.5560256)
775,ROBBERY,BROOKLYN,40.620162,-73.933508,POINT (4521815.749780281 -12488745.79967258)
876,ROBBERY,BROOKLYN,40.681753,-73.924165,POINT (4528672.028537729 -12484988.78624578)
879,ROBBERY,BROOKLYN,40.661934,-73.921029,POINT (4526465.787549698 -12483728.21235073)
894,ROBBERY,BROOKLYN,40.644519,-73.919929,POINT (4524527.158617533 -12483286.10346912)
1078,ROBBERY,BROOKLYN,40.67412041,-73.89838796,POINT (4527822.372505495 -12474634.31868558)
1275,ROBBERY,BROOKLYN,40.66766493,-73.87368753,POINT (4527103.75175907 -12464727.44799651)
1720,ROBBERY,BROOKLYN,40.618118,-74.029738,POINT (4521588.2127411 -12527566.14774016)
1953,ROBBERY,BROOKLYN,40.588374,-73.970288,POINT (4518277.125806944 -12503556.49758698)
1985,ROBBERY,BROOKLYN,40.673237,-73.964989,POINT (4527724.031754134 -12501420.63887039)
2069,ROBBERY,BROOKLYN,40.592463,-73.95278,POINT (4518732.311204798 -12496502.19333309)
2075,ROBBERY,BROOKLYN,40.593812,-73.950353,POINT (4518882.481197878 -12495524.90063621)
2089,ROBBERY,BROOKLYN,40.710931,-73.951379,POINT (4531920.108640096 -12495938.02782652)
2101,RAPE,BROOKLYN,40.70654839,-73.95040063,POINT (4531432.238726551 -12495544.07867138)
2194,ROBBERY,BROOKLYN,40.7007255,-73.94193187,POINT (4530784.037576805 -12492135.03598023)
2207,ROBBERY,BROOKLYN,40.619717,-73.938768,POINT (4521766.212606878 -12490861.89042013)
2300,ROBBERY,BROOKLYN,40.63068831,-73.9252042,POINT (4522987.533249413 -12485406.56495106)
2619,RAPE,BROOKLYN,40.67135982,-73.88181102,POINT (4527515.065032407 -12467983.99349041)
2622,ROBBERY,BROOKLYN,40.666646,-73.882081,POINT (4526990.324990315 -12468092.25053056)
2671,ROBBERY,BROOKLYN,40.68065246,-73.86574906,POINT (4528549.516985332 -12461546.61573845)
3021,ROBBERY,BROOKLYN,40.637007,-74.028469,POINT (4523690.926602693 -12527052.73714994)
3097,RAPE,BROOKLYN,40.65815775,-74.00044115,POINT (4526045.41732259 -12515723.37864013)
3144,ROBBERY,BROOKLYN,40.63239235,-73.99529114,POINT (4523177.226114505 -12513643.75469484)
3303,ROBBERY,BROOKLYN,40.655506,-73.973928,POINT (4525750.225862879 -12505024.06444962)
3317,ROBBERY,BROOKLYN,40.577258,-73.976436,POINT (4517039.698347286 -12506035.4230272)
3352,ROBBERY,BROOKLYN,40.578591,-73.961822,POINT (4517188.087228514 -12500144.44980062)
3375,ROBBERY,BROOKLYN,40.647959,-73.959548,POINT (4524910.097665861 -12499228.25951574)
3399,ROBBERY,BROOKLYN,40.703693,-73.956029,POINT (4531114.378165734 -12497810.71035777)
3464,ROBBERY,BROOKLYN,40.635133,-73.947894,POINT (4523482.313876947 -12494534.86907934)
3545,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.70391439,-73.94089398,POINT (4531139.023187801 -12491717.36072576)
3705,ROBBERY,BROOKLYN,40.671683,-73.918326,POINT (4527551.041265441 -12482641.88297136)
4018,RAPE,BROOKLYN,40.67135982,-73.88181102,POINT (4527515.065032407 -12467983.99349041)
4105,ROBBERY,BROOKLYN,40.668249,-73.869681,POINT (4527168.770134058 -12463121.89782498)
4604,ROBBERY,BROOKLYN,40.6459461,-73.99509559,POINT (4524686.022662844 -12513564.80255283)
4739,ROBBERY,BROOKLYN,40.685705,-73.981681,POINT (4529111.963165345 -12508150.98349599)
4781,ROBBERY,BROOKLYN,40.68297089,-73.976665,POINT (4528807.603432371 -12506127.775649)
4787,ROBBERY,BROOKLYN,40.68211726,-73.97659679,POINT (4528712.577775446 -12506100.26733848)
4847,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.634786,-73.97388,POINT (4523443.686013642 -12505004.70980773)
4925,ROBBERY,BROOKLYN,40.718854,-73.953432,POINT (4532802.092965651 -12496764.76208512)
4929,ROBBERY,BROOKLYN,40.708666,-73.958578,POINT (4531667.969993449 -12498837.48683655)
4953,ROBBERY,BROOKLYN,40.706753,-73.949301,POINT (4531455.015807561 -12495101.33103613)
4997,ROBBERY,BROOKLYN,40.71453893,-73.95170267,POINT (4532321.741570514 -12496068.36150351)
5138,ROBBERY,BROOKLYN,40.67596844,-73.93322535,POINT (4528028.094264067 -12488632.10906534)
5206,ROBBERY,BROOKLYN,40.69256291,-73.92798357,POINT (4529875.38221445 -12486524.05522573)
5234,ROBBERY,BROOKLYN,40.663561,-73.922839,POINT (4526646.904361218 -12484455.74651573)
5280,ROBBERY,BROOKLYN,40.693663,-73.917385,POINT (4529997.843673077 -12482263.73898751)
5310,RAPE,BROOKLYN,40.67113,-73.91350206,POINT (4527489.481587032 -12480703.59441871)
5330,ROBBERY,BROOKLYN,40.694709,-73.915185,POINT (4530114.283860447 -12481379.7457065)
5351,ROBBERY,BROOKLYN,40.675462,-73.909598,POINT (4527971.717621149 -12479135.33353798)
5352,ROBBERY,BROOKLYN,40.69835075,-73.9110238,POINT (4530519.681616044 -12479708.03444403)
5455,ROBBERY,BROOKLYN,40.65911269,-73.89921817,POINT (4526151.720757128 -12474967.55699422)
5466,ROBBERY,BROOKLYN,40.64513343,-73.90231306,POINT (4524595.556652261 -12476209.96350382)
5554,ROBBERY,BROOKLYN,40.659756,-73.892057,POINT (4526223.33369875 -12472093.68223443)
6306,ROBBERY,BROOKLYN,40.57615928,-73.98901711,POINT (4516917.389396362 -12511111.12096194)
6372,ROBBERY,BROOKLYN,40.68787,-73.984194,POINT (4529352.969862911 -12509164.83615891)
6450,ROBBERY,BROOKLYN,40.604238,-73.972613,POINT (4520043.098208889 -12504493.84831537)
6607,ROBBERY,BROOKLYN,40.632233,-73.947621,POINT (4523159.487353646 -12494424.96415073)
6645,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.585577,-73.948792,POINT (4517965.765191196 -12494896.40069549)
6674,ROBBERY,BROOKLYN,40.696522,-73.939249,POINT (4530316.106097255 -12491055.42972865)
6735,ROBBERY,BROOKLYN,40.654033,-73.939342,POINT (4525586.252252939 -12491092.85066183)
7039,ROBBERY,BROOKLYN,40.695341,-73.905778,POINT (4530184.637778629 -12477601.19809443)
7165,ROBBERY,BROOKLYN,40.67803108,-73.8916726,POINT (4528257.706298556 -12471939.45247199)
7260,RAPE,BROOKLYN,40.67135982,-73.88181102,POINT (4527515.065032407 -12467983.99349041)
7282,ROBBERY,BROOKLYN,40.666787,-73.875728,POINT (4527006.021038517 -12465545.2816089)
7295,ROBBERY,BROOKLYN,40.678768,-73.866637,POINT (4528339.739857711 -12461902.32501223)
7769,ROBBERY,BROOKLYN,40.652117,-74.008341,POINT (4525372.96410858 -12518914.68193734)
7820,ROBBERY,BROOKLYN,40.572752,-73.997566,POINT (4516538.092721771 -12514562.28484114)
8108,ROBBERY,BROOKLYN,40.652997,-73.957965,POINT (4525470.925260479 -12498590.54648229)
8114,ROBBERY,BROOKLYN,40.57799448,-73.95963472,POINT (4517121.682925866 -12499263.19651951)
8145,ROBBERY,BROOKLYN,40.730944,-73.957769,POINT (4534147.945609341 -12498511.59196177)
8342,ROBBERY,BROOKLYN,40.671919,-73.93083,POINT (4527577.312665269 -12487668.7030847)
8400,ROBBERY,BROOKLYN,40.63985775,-73.9280981,POINT (4524008.270641073 -12486570.10788497)
8404,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.663561,-73.922839,POINT (4526646.904361218 -12484455.74651573)
8431,ROBBERY,BROOKLYN,40.6981028,-73.92516102,POINT (4530492.079948301 -12485389.20522374)
8486,ROBBERY,BROOKLYN,40.68466,-73.913552,POINT (4528995.634297465 -12480723.65771665)
8488,RAPE,BROOKLYN,40.67113,-73.91350206,POINT (4527489.481587032 -12480703.59441871)
8571,ROBBERY,BROOKLYN,40.676726,-73.90709,POINT (4528112.425457512 -12478128.06537316)
8590,ROBBERY,BROOKLYN,40.67667,-73.906066,POINT (4528106.191566028 -12477716.84830525)
8805,ROBBERY,BROOKLYN,40.65625965,-73.87811693,POINT (4525834.121797116 -12466502.90828341)
9217,ROBBERY,BROOKLYN,40.64823999,-74.01400019,POINT (4524941.37732958 -12521201.76959032)
9246,ROBBERY,BROOKLYN,40.57332714,-74.00254852,POINT (4516602.117013707 -12516574.54303142)
9450,ROBBERY,BROOKLYN,40.696165,-73.987935,POINT (4530276.365039042 -12510674.40402365)
9767,ROBBERY,BROOKLYN,40.695783,-73.939093,POINT (4530233.840993559 -12490992.65960482)
9794,ROBBERY,BROOKLYN,40.65362336,-73.93351081,POINT (4525540.651336731 -12488746.92995161)
9886,RAPE,BROOKLYN,40.6894643,-73.92402909,POINT (4529530.446527083 -12484934.14971451)
9912,ROBBERY,BROOKLYN,40.683566,-73.921485,POINT (4528873.850774538 -12483911.49521197)
9957,ROBBERY,BROOKLYN,40.665421,-73.916463,POINT (4526853.958614093 -12481893.25110951)
9973,ROBBERY,BROOKLYN,40.669616,-73.911203,POINT (4527320.943877971 -12479780.01718077)
10005,ROBBERY,BROOKLYN,40.670029,-73.908427,POINT (4527366.91882767 -12478665.0150664)
10007,ROBBERY,BROOKLYN,40.668341,-73.906514,POINT (4527179.01152721 -12477896.75263805)
10202,ROBBERY,BROOKLYN,40.6662595,-73.88401746,POINT (4526947.300007124 -12468868.7873014)
10204,RAPE,BROOKLYN,40.67135982,-73.88181102,POINT (4527515.065032407 -12467983.99349041)
10678,ROBBERY,BROOKLYN,40.6189,-74.014266,POINT (4521675.264582899 -12521309.21261398)
10679,ROBBERY,BROOKLYN,40.624665,-74.027586,POINT (4522317.021447323 -12526695.51744506)
10871,RAPE,BROOKLYN,40.57664598,-73.9764804,POINT (4516971.568592531 -12506053.32884993)
10875,ROBBERY,BROOKLYN,40.685948,-73.978046,POINT (4529139.013801607 -12506684.74163418)
10907,ROBBERY,BROOKLYN,40.674147,-73.975678,POINT (4527825.332490756 -12505729.74098394)
10956,RAPE,BROOKLYN,40.6902236,-73.96027859,POINT (4529614.971416444 -12499522.59905019)
11148,ROBBERY,BROOKLYN,40.713078,-73.936025,POINT (4532159.111586829 -12489758.30112723)
11241,ROBBERY,BROOKLYN,40.703889,-73.930197,POINT (4531136.196785929 -12487414.1348436)
11243,ROBBERY,BROOKLYN,40.654191,-73.924335,POINT (4525603.840732485 -12485057.12776856)
11392,ROBBERY,BROOKLYN,40.664862,-73.909502,POINT (4526791.73101874 -12479096.77500541)
12046,ROBBERY,BROOKLYN,40.676306,-74.005935,POINT (4528065.671271378 -12517942.56728063)
12111,ROBBERY,BROOKLYN,40.60069552,-73.9963665,POINT (4519648.751139143 -12514077.94164654)
12112,RAPE,BROOKLYN,40.65815775,-74.00044115,POINT (4526045.41732259 -12515723.37864013)
12159,ROBBERY,BROOKLYN,40.674174,-73.988758,POINT (4527828.338117007 -12511006.54697409)
12208,ROBBERY,BROOKLYN,40.576568,-73.985303,POINT (4516962.887898639 -12509612.30389259)
12211,ROBBERY,BROOKLYN,40.687025,-73.982024,POINT (4529258.904893192 -12508289.35537197)
12405,ROBBERY,BROOKLYN,40.692428,-73.951976,POINT (4529860.364101948 -12496178.42653619)
12483,ROBBERY,BROOKLYN,40.586042,-73.944007,POINT (4518017.528754414 -12492970.20373203)
12522,ROBBERY,BROOKLYN,40.695867,-73.944946,POINT (4530243.191830786 -12493348.15315813)
12663,RAPE,BROOKLYN,40.67449569,-73.93057133,POINT (4527864.148484 -12487564.67478506)
12806,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.656911,-73.904087,POINT (4525906.629747443 -12476922.19531123)
12903,ROBBERY,BROOKLYN,40.663537,-73.889846,POINT (4526644.232693439 -12471206.62920559)
13549,ROBBERY,BROOKLYN,40.689644,-73.997643,POINT (4529550.450639579 -12514593.37769195)
13600,ROBBERY,BROOKLYN,40.67035772,-73.98871321,POINT (4527403.511770682 -12510988.47038257)
13741,ROBBERY,BROOKLYN,40.607178,-73.962385,POINT (4520370.377511821 -12500371.30096764)
13764,ROBBERY,BROOKLYN,40.695109,-73.961339,POINT (4530158.811656765 -12499949.83943735)
13787,ROBBERY,BROOKLYN,40.609575,-73.958437,POINT (4520637.210331252 -12498780.685713)
13867,ROBBERY,BROOKLYN,40.706932,-73.947359,POINT (4531474.941996414 -12494319.48933728)
13875,ROBBERY,BROOKLYN,40.635133,-73.947894,POINT (4523482.313876947 -12494534.86907934)
