,0,geometry,Latitude,Longitude,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,RAPE,Total Crimes
0,POINT (40.57793559276885 -73.97743058783756),POINT (4517115.12762928 -12506436.53626439),40.57793559276885,-73.97743058783756,26,0,10,36
1,POINT (40.7028891058431 -73.93905927247047),POINT (4531024.889077536 -12490979.0886495),40.7028891058431,-73.93905927247047,114,5,0,119
2,POINT (40.57751147695321 -73.95526685396611),POINT (4517067.915272646 -12497503.73703828),40.57751147695321,-73.95526685396611,23,0,0,23
3,POINT (40.68767330408509 -73.91536170609169),POINT (4529331.073773823 -12481450.74453938),40.68767330408509,-73.91536170609169,101,3,16,120
4,POINT (40.68766392690996 -73.95072144091642),POINT (4529330.029911462 -12495673.25338903),40.687663926909956,-73.95072144091642,97,4,0,101
5,POINT (40.68408807562209 -73.85380607357875),POINT (4528931.967966944 -12456764.09947019),40.68408807562209,-73.85380607357875,0,0,0,0
6,POINT (40.65167420216333 -74.00109399519316),POINT (4525323.672078877 -12515987.0504119),40.65167420216333,-74.00109399519316,45,0,12,57
7,POINT (40.61119189133703 -74.03210267671146),POINT (4520817.201851559 -12528522.95199318),40.61119189133703,-74.03210267671146,8,0,0,8
8,POINT (40.62171096792417 -73.93712761985812),POINT (4521988.180100854 -12490201.895357),40.621710967924166,-73.93712761985812,11,0,0,11
9,POINT (40.66732214558247 -73.84713892713296),POINT (4527065.593172259 -12454095.76753488),40.667322145582474,-73.84713892713296,0,0,0,0
10,POINT (40.69989392665717 -73.96032946489451),POINT (4530691.467255724 -12499543.09597455),40.69989392665717,-73.96032946489451,34,1,9,44
11,POINT (40.70733847887024 -73.93686338815809),POINT (4531520.191017267 -12490095.5897841),40.70733847887024,-73.93686338815809,76,1,0,77
12,POINT (40.62413044942865 -74.0268445448023),POINT (4522257.515549917 -12526395.57487526),40.62413044942865,-74.0268445448023,20,0,0,20
13,POINT (40.65683972686463 -73.856658713087),POINT (4525898.695658307 -12457906.11329692),40.65683972686463,-73.856658713087,2,0,0,2
14,POINT (40.66822723647687 -73.9175593038828),POINT (4527166.347429744 -12482333.78195776),40.668227236476866,-73.9175593038828,82,1,0,83
15,POINT (40.59428950302675 -73.99660112715476),POINT (4518935.636591668 -12514172.6783947),40.59428950302675,-73.99660112715476,23,1,0,24
16,POINT (40.6552150104766 -73.89598663044337),POINT (4525717.833057308 -12473670.54225317),40.6552150104766,-73.89598663044337,78,5,0,83
17,POINT (40.67924964759152 -73.99446328833963),POINT (4528393.356622341 -12513309.52097176),40.67924964759152,-73.99446328833963,18,0,0,18
18,POINT (40.63553324592001 -73.98812749006406),POINT (4523526.869048955 -12510752.08688144),40.63553324592001,-73.98812749006406,4,0,14,18
19,POINT (40.6124509098459 -73.94938417787853),POINT (4520957.355150864 -12495134.82018575),40.6124509098459,-73.94938417787853,5,0,0,5
20,POINT (40.65855728935784 -74.00179839362455),POINT (4526089.893840457 -12516271.55530952),40.658557289357844,-74.00179839362455,23,0,12,35
21,POINT (40.63569919337108 -73.96626697415813),POINT (4523545.342234707 -12501935.68679406),40.63569919337108,-73.96626697415813,27,0,0,27
22,POINT (40.65685770316798 -74.00610412833349),POINT (4525900.696771242 -12518010.89684614),40.65685770316798,-74.00610412833349,32,1,0,33
23,POINT (40.62348224959259 -73.97976180953509),POINT (4522185.358274234 -12507376.80353825),40.62348224959259,-73.97976180953509,14,1,0,15
24,POINT (40.61316601135773 -74.02883412304354),POINT (4521036.959887029 -12527200.45414823),40.613166011357734,-74.02883412304354,9,0,0,9
25,POINT (40.67090339182917 -73.96695754843826),POINT (4527464.255680846 -12502214.01801735),40.67090339182917,-73.96695754843826,23,0,0,23
26,POINT (40.58098954378187 -73.97324508826979),POINT (4517455.091900957 -12504748.70492812),40.58098954378187,-73.97324508826979,33,0,10,43
27,POINT (40.68466360196351 -73.99018495743589),POINT (4528996.035266209 -12511582.47198503),40.684663601963514,-73.99018495743589,55,0,0,55
28,POINT (40.66452618432621 -73.85990004164759),POINT (4526754.348188933 -12459203.97170977),40.664526184326206,-73.85990004164759,21,2,0,23
29,POINT (40.66580858179254 -73.97072266129474),POINT (4526897.10402188 -12503731.72626944),40.66580858179254,-73.97072266129474,14,0,0,14
30,POINT (40.659976098122 -73.89846272396507),POINT (4526247.834909616 -12474664.32753668),40.659976098122,-73.89846272396507,88,7,0,95
31,POINT (40.66543310784895 -73.87361021536431),POINT (4526855.306453673 -12464696.46176978),40.66543310784895,-73.87361021536431,72,0,0,72
32,POINT (40.58480737738243 -73.96002556503839),POINT (4517880.091193304 -12499420.65907157),40.584807377382425,-73.96002556503839,35,1,11,47
33,POINT (40.65674829272221 -73.93423292604406),POINT (4525888.517256131 -12489037.39634138),40.65674829272221,-73.93423292604406,61,5,0,66
34,POINT (40.66060529442946 -73.87475362813065),POINT (4526317.876722171 -12465154.73447584),40.66060529442946,-73.87475362813065,44,0,0,44
35,POINT (40.62009726881757 -74.03754924531472),POINT (4521808.543938015 -12530727.28787598),40.620097268817574,-74.03754924531472,2,1,0,3
36,POINT (40.6570400292129 -73.98252396036928),POINT (4525920.993213721 -12508491.05282654),40.6570400292129,-73.98252396036928,13,0,0,13
37,POINT (40.67188765444515 -73.86743213501062),POINT (4527573.823294064 -12462220.87272793),40.67188765444515,-73.86743213501062,105,1,0,106
38,POINT (40.64781882219619 -73.97851394524612),POINT (4524894.49314412 -12506873.47749909),40.647818822196186,-73.97851394524612,11,0,0,11
39,POINT (40.68556848483934 -73.91238056181795),POINT (4529096.766367174 -12480253.05067471),40.68556848483934,-73.91238056181795,89,1,0,90
40,POINT (40.62140442269332 -73.93535551844735),POINT (4521954.05564185 -12489488.97693303),40.62140442269332,-73.93535551844735,15,0,0,15
41,POINT (40.60879506777307 -73.94213719392386),POINT (4520550.388672897 -12492217.66704371),40.608795067773066,-73.94213719392386,10,1,0,11
42,POINT (40.58145331712377 -73.94902502433368),POINT (4517506.71891322 -12494990.21868438),40.58145331712377,-73.94902502433368,13,1,0,14
43,POINT (40.71078095635959 -73.93025976700793),POINT (4531903.405858449 -12487439.37688275),40.71078095635959,-73.93025976700793,40,1,0,41
44,POINT (40.63671549537197 -73.95601029009769),POINT (4523658.476455938 -12497803.17430807),40.63671549537197,-73.9560102900977,32,1,0,33
45,POINT (40.58555412001916 -73.9405430111522),POINT (4517963.21820338 -12491576.12723203),40.58555412001916,-73.9405430111522,23,1,0,24
46,POINT (40.59181829100557 -73.99351257874241),POINT (4518660.542527827 -12512925.70581422),40.591818291005566,-73.99351257874241,26,0,0,26
47,POINT (40.61568866043394 -73.92222735570073),POINT (4521317.779897641 -12484209.88559275),40.61568866043394,-73.92222735570073,25,0,0,25
48,POINT (40.59161876274135 -73.96111734455975),POINT (4518638.331143056 -12499860.53193625),40.59161876274135,-73.96111734455975,34,1,11,46
49,POINT (40.64214950378326 -74.01087657125365),POINT (4524263.387505249 -12519939.30242796),40.64214950378326,-74.01087657125365,69,2,0,71
50,POINT (40.67142360820513 -73.86150480341405),POINT (4527522.16590292 -12459846.62730281),40.67142360820513,-73.86150480341405,32,2,0,34
51,POINT (40.67288317244356 -73.87898751029518),POINT (4527684.643850722 -12466851.92351413),40.672883172443555,-73.87898751029518,86,2,49,137
52,POINT (40.64323616136018 -74.01360897785959),POINT (4524384.353673378 -12521043.64094948),40.64323616136018,-74.01360897785959,56,1,0,57
53,POINT (40.64366272251447 -74.00492607639075),POINT (4524431.838243865 -12517534.96650827),40.64366272251447,-74.00492607639075,63,1,0,64
54,POINT (40.6417623515223 -73.87371707345952),POINT (4524220.289912699 -12464739.28848802),40.6417623515223,-73.87371707345952,1,0,0,1
55,POINT (40.66594130410702 -73.87995565183132),POINT (4526911.878602345 -12467240.07254831),40.66594130410702,-73.87995565183132,74,2,49,125
56,POINT (40.60653474868602 -73.91250168552014),POINT (4520298.771103097 -12480301.70868881),40.60653474868602,-73.91250168552014,2,0,0,2
57,POINT (40.6265091994092 -73.96514068630023),POINT (4522522.316786476 -12501481.76924747),40.6265091994092,-73.96514068630023,21,0,0,21
58,POINT (40.6698716701373 -73.85697105344734),POINT (4527349.404947467 -12458031.1662678),40.669871670137304,-73.85697105344734,7,2,0,9
59,POINT (40.63302016291108 -73.95539901874282),POINT (4523247.11392808 -12497556.96868005),40.63302016291108,-73.95539901874282,20,0,0,20
60,POINT (40.65173768927482 -73.86355411032223),POINT (4525330.7394318 -12460667.39940536),40.65173768927482,-73.86355411032223,6,0,0,6
61,POINT (40.69078438706408 -73.99262692168087),POINT (4529677.39794686 -12512568.17327574),40.69078438706408,-73.99262692168087,44,0,0,44
62,POINT (40.70496001844661 -73.94625616333525),POINT (4531255.422014036 -12493875.53255566),40.70496001844661,-73.94625616333525,69,1,0,70
63,POINT (40.66239953266116 -73.89661713167089),POINT (4526517.610408486 -12473923.58111443),40.66239953266116,-73.8966171316709,122,8,0,130
64,POINT (40.64411800799052 -73.97723713180977),POINT (4524482.520391226 -12506358.51433439),40.64411800799052,-73.97723713180977,10,0,0,10
65,POINT (40.66362718017147 -73.96491685343268),POINT (4526654.271504207 -12501391.56362177),40.66362718017147,-73.96491685343268,21,1,0,22
66,POINT (40.6451126862607 -73.93917311441695),POINT (4524593.247469764 -12491024.895376),40.645112686260696,-73.93917311441695,32,4,0,36
67,POINT (40.6678364252005 -73.93169767751087),POINT (4527122.842517463 -12488017.66545468),40.6678364252005,-73.93169767751087,96,3,16,115
68,POINT (40.70951348578813 -73.97217063543361),POINT (4531762.311679837 -12504315.49370803),40.70951348578813,-73.97217063543361,4,0,0,4
69,POINT (40.67822501609094 -73.9899571921287),POINT (4528279.295165446 -12511490.54175793),40.67822501609094,-73.9899571921287,44,0,0,44
70,POINT (40.62398614345216 -73.97767317898439),POINT (4522241.451482096 -12506534.37596727),40.62398614345216,-73.97767317898439,9,0,0,9
71,POINT (40.67110881059925 -73.99768439884285),POINT (4527487.122793731 -12514610.09473977),40.67110881059925,-73.99768439884285,12,0,0,12
72,POINT (40.656516054111 -73.89712665342178),POINT (4525862.664572189 -12474128.07436671),40.656516054111,-73.89712665342178,88,7,0,95
73,POINT (40.60246312151396 -73.94930541414358),POINT (4519845.519639603 -12495103.1082582),40.60246312151396,-73.94930541414358,15,0,0,15
74,POINT (40.68079755690359 -73.91976267260796),POINT (4528565.669098755 -12483219.25619804),40.68079755690359,-73.91976267260796,94,2,0,96
75,POINT (40.59332450934024 -73.97538037432399),POINT (4518828.213985868 -12505609.71999892),40.59332450934024,-73.97538037432399,26,0,0,26
76,POINT (40.6565229365175 -73.86210899160022),POINT (4525863.430718175 -12460088.60140268),40.6565229365175,-73.86210899160022,14,1,0,15
77,POINT (40.66894189232333 -73.87822623804387),POINT (4527245.902554665 -12466546.72881958),40.66894189232333,-73.87822623804387,81,2,49,132
78,POINT (40.65765105939366 -73.86244038320396),POINT (4525989.012782303 -12460221.32569205),40.657651059393665,-73.86244038320396,18,1,0,19
79,POINT (40.63439227849865 -74.02800527493123),POINT (4523399.857136598 -12526865.133696),40.63439227849865,-74.02800527493123,13,0,0,13
80,POINT (40.66118678005172 -73.96302004183383),POINT (4526382.607405544 -12500627.18945918),40.66118678005172,-73.96302004183383,51,1,0,52
