OBJECTID,Offense,Latitude,Longitude,geometry
1,ROBBERY,40.73975138,-74.00252241,POINT (4535128.378666164 -12516563.99656349)
2,RAPE,40.73389676,-74.00539584,POINT (4534476.645348976 -12517724.74585852)
3,ROBBERY,40.717274,-74.004902,POINT (4532626.208170198 -12517525.24005648)
4,ROBBERY,40.735617,-74.000539,POINT (4534668.141589819 -12515762.8977288)
5,ROBBERY,40.754372,-73.995585,POINT (4536755.938639645 -12513762.40067751)
6,ROBBERY,40.741928,-73.993512,POINT (4535370.678896215 -12512925.47217433)
7,ROBBERY,40.720656,-73.988061,POINT (4533002.69068806 -12510725.25350692)
8,RAPE,40.78425198,-73.97489767,POINT (4540082.162798159 -12505415.06853059)
9,ROBBERY,40.751594,-73.972382,POINT (4536446.693094222 -12504400.71206088)
10,ROBBERY,40.817762,-73.955493,POINT (4543812.481161032 -12497594.82151097)
11,ROBBERY,40.807639,-73.951162,POINT (4542685.593955732 -12495850.64887875)
12,ROBBERY,40.817591,-73.938313,POINT (4543793.445528107 -12490678.81788992)
13,ROBBERY,40.833452,-73.935448,POINT (4545559.083971579 -12489526.18047361)
14,ROBBERY,40.73066902,-73.99885262,POINT (4534117.334975763 -12515081.84531199)
15,ROBBERY,40.744633,-74.004538,POINT (4535671.798118811 -12517378.19199345)
16,ROBBERY,40.755308,-73.99305,POINT (4536860.133683029 -12512738.96414218)
17,ROBBERY,40.760328,-73.993105,POINT (4537418.957526811 -12512761.16720445)
18,ROBBERY,40.778794,-73.98205472,POINT (4539474.583243799 -12508301.74846912)
19,ROBBERY,40.803868,-73.966921,POINT (4542265.80815595 -12502199.28712763)
20,ROBBERY,40.780515,-73.960111,POINT (4539666.164087455 -12499455.07936671)
21,ROBBERY,40.806115,-73.94561,POINT (4542515.943051763 -12493615.42751153)
22,ROBBERY,40.805404,-73.94196,POINT (4542436.794893809 -12492146.3566256)
23,ROBBERY,40.80890505,-73.93833712,POINT (4542826.529997051 -12490688.52261906)
24,ROBBERY,40.858795,-73.931549,POINT (4548380.253826752 -12487957.86906019)
