,0,geometry,Latitude,Longitude,ROBBERY,RAPE,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
0,POINT (40.76254574725146 -73.98941452525062),POINT (4537665.836021552 -12511271.51665245),40.76254574725146,-73.98941452525062,293,0,2,295
1,POINT (40.87151841349857 -73.92709353060474),POINT (4549796.617738565 -12486166.18013781),40.87151841349857,-73.92709353060474,50,0,2,52
2,POINT (40.86795938818765 -73.91438758345765),POINT (4549400.428853233 -12481059.36074271),40.86795938818765,-73.91438758345765,11,0,1,12
3,POINT (40.70604699402521 -74.0096886305795),POINT (4531376.42358195 -12519459.23770607),40.70604699402521,-74.0096886305795,71,0,0,71
4,POINT (40.7446597668885 -73.98888405736042),POINT (4535674.777795208 -12511057.42215273),40.744659766888496,-73.98888405736042,366,0,3,369
5,POINT (40.76173089181992 -73.96960169104752),POINT (4537575.126729843 -12503279.82947697),40.76173089181992,-73.96960169104752,87,5,1,93
6,POINT (40.85284073952818 -73.936993846756),POINT (4547717.428582978 -12490148.07561287),40.852840739528176,-73.936993846756,126,17,1,144
7,POINT (40.84212208464691 -73.94157601145783),POINT (4546524.233379607 -12491991.8258323),40.84212208464691,-73.94157601145783,129,0,3,132
8,POINT (40.8251436441785 -73.94400371043544),POINT (4544634.202032199 -12492968.87971338),40.825143644178496,-73.94400371043544,168,25,8,201
9,POINT (40.81000325513243 -73.96267052321582),POINT (4542948.781633179 -12500486.35060035),40.81000325513243,-73.96267052321582,60,0,0,60
10,POINT (40.74291134965598 -74.00385795294008),POINT (4535480.14487919 -12517103.47654102),40.74291134965598,-74.00385795294008,117,8,0,125
11,POINT (40.78144370519371 -73.95153369596584),POINT (4539769.547076716 -12496000.31963821),40.78144370519371,-73.95153369596584,110,0,2,112
12,POINT (40.80979697767285 -73.94549703536966),POINT (4542925.818931416 -12493569.9560461),40.809796977672846,-73.94549703536966,220,22,7,249
13,POINT (40.73088352751621 -74.01045420050079),POINT (4534141.213843239 -12519768.61206448),40.730883527516205,-74.01045420050079,22,0,0,22
14,POINT (40.84525394584384 -73.94215139839308),POINT (4546872.870573284 -12492223.38356319),40.84525394584384,-73.94215139839308,102,0,3,105
15,POINT (40.72679834319707 -73.99630735704464),POINT (4533686.453205035 -12514054.06137066),40.72679834319707,-73.99630735704464,170,5,2,177
16,POINT (40.85421365525931 -73.92790344517636),POINT (4547870.26086307 -12486491.83712179),40.85421365525931,-73.92790344517636,75,0,1,76
17,POINT (40.80633252975099 -73.94237656442391),POINT (4542540.158352875 -12492314.00119359),40.80633252975099,-73.94237656442391,260,32,8,300
18,POINT (40.74291216222112 -73.99036985547906),POINT (4535480.235333527 -12511657.10114011),40.74291216222112,-73.99036985547906,322,0,2,324
19,POINT (40.72738667689573 -73.99631482480895),POINT (4533751.946212787 -12514057.07664087),40.72738667689573,-73.99631482480895,165,5,2,172
20,POINT (40.7769204592487 -73.96384367354038),POINT (4539266.021641384 -12500959.08445776),40.7769204592487,-73.96384367354038,57,12,0,69
21,POINT (40.7971567140123 -73.9713749093938),POINT (4541518.711217231 -12503994.68124112),40.797156714012296,-73.9713749093938,75,0,2,77
22,POINT (40.77825549336481 -73.94730464791637),POINT (4539414.636959381 -12494297.60872324),40.77825549336481,-73.94730464791637,82,9,0,91
23,POINT (40.79397077264589 -73.97965001572132),POINT (4541164.053846626 -12507331.70994849),40.79397077264589,-73.97965001572132,24,0,3,27
24,POINT (40.70917755187416 -73.9875589676753),POINT (4531724.915687595 -12510522.65198007),40.70917755187416,-73.9875589676753,104,0,0,104
25,POINT (40.77975623674051 -73.98745123723135),POINT (4539581.698947776 -12510479.17679599),40.77975623674051,-73.98745123723135,38,0,1,39
26,POINT (40.76779366110396 -73.98736841579719),POINT (4538250.031119339 -12510445.75396676),40.76779366110396,-73.98736841579719,172,8,3,183
27,POINT (40.72778883867637 -73.9789191723774),POINT (4533796.714657425 -12507036.92166968),40.727788838676375,-73.9789191723774,80,0,1,81
28,POINT (40.7120656533423 -74.00090450361121),POINT (4532046.417672387 -12515910.51728234),40.7120656533423,-74.00090450361121,53,5,2,60
29,POINT (40.78231336993628 -73.95354046241856),POINT (4539866.357713019 -12496808.44229825),40.782313369936276,-73.95354046241856,87,0,3,90
30,POINT (40.71226539132812 -74.01051760692461),POINT (4532068.652403261 -12519794.23587281),40.71226539132812,-74.01051760692461,71,0,0,71
31,POINT (40.83870425392788 -73.93579478055679),POINT (4546143.762204346 -12489665.68544399),40.83870425392788,-73.93579478055679,158,17,5,180
32,POINT (40.76824511638804 -73.97915091278698),POINT (4538300.286891678 -12507130.39357553),40.76824511638804,-73.97915091278698,68,0,0,68
33,POINT (40.82158703804587 -73.9471060246987),POINT (4544238.282448563 -12494217.64923812),40.82158703804587,-73.9471060246987,164,25,3,192
34,POINT (40.79793503350606 -73.93278231618309),POINT (4541605.353346951 -12488453.91102478),40.797935033506064,-73.9327823161831,77,0,0,77
35,POINT (40.78679448530489 -73.97859153306088),POINT (4540365.193194038 -12506904.77142978),40.78679448530489,-73.97859153306088,56,8,4,68
36,POINT (40.78966022629623 -73.96032688297589),POINT (4540684.20602194 -12499542.05574697),40.78966022629623,-73.96032688297589,26,0,0,26
37,POINT (40.7644089508873 -73.98989719175138),POINT (4537873.246901537 -12511466.32472458),40.7644089508873,-73.98989719175138,237,0,2,239
38,POINT (40.86972411101033 -73.92010207661374),POINT (4549596.876899245 -12483355.66397901),40.869724111010335,-73.92010207661374,57,0,2,59
39,POINT (40.79367276308842 -73.94101168551063),POINT (4541130.879574437 -12491764.7273134),40.79367276308842,-73.94101168551063,239,10,8,257
40,POINT (40.77052188345347 -73.95873177813023),POINT (4538553.735442057 -12498899.43611827),40.77052188345347,-73.95873177813023,56,0,1,57
41,POINT (40.77869311904365 -73.94368436916392),POINT (4539463.353227108 -12492840.34912644),40.77869311904365,-73.94368436916392,72,0,1,73
42,POINT (40.73079896269188 -73.99802727593344),POINT (4534131.800130055 -12514748.55174365),40.73079896269188,-73.99802727593344,186,8,1,195
43,POINT (40.86309646257632 -73.93001397815817),POINT (4548859.090450414 -12487340.53232135),40.86309646257632,-73.93001397815817,65,0,2,67
44,POINT (40.74295978091081 -74.00197662554646),POINT (4535485.536221816 -12516343.54470456),40.74295978091081,-74.00197662554646,148,8,0,156
45,POINT (40.78707150350921 -73.97218903252462),POINT (4540396.030719484 -12504322.91103739),40.78707150350921,-73.97218903252462,78,8,3,89
46,POINT (40.82216654735193 -73.95229873592045),POINT (4544302.793129425 -12496308.3887869),40.822166547351934,-73.95229873592045,140,6,4,150
47,POINT (40.72912794046862 -74.00413282113352),POINT (4533945.782787058 -12517214.51239897),40.729127940468615,-74.00413282113352,126,22,0,148
48,POINT (40.78057723873428 -73.95277476279382),POINT (4539673.092471663 -12496500.08428513),40.78057723873428,-73.95277476279382,98,0,3,101
49,POINT (40.72927532055765 -74.00454625337953),POINT (4533962.189063522 -12517381.5261427),40.729275320557655,-74.00454625337953,121,22,0,143
50,POINT (40.86357345014794 -73.92177474323276),POINT (4548912.188464002 -12484027.95610622),40.86357345014794,-73.92177474323276,74,0,1,75
51,POINT (40.85010725521602 -73.93335543254453),POINT (4547413.138501258 -12488684.43206237),40.850107255216024,-73.93335543254453,111,17,2,130
52,POINT (40.81492691540546 -73.94706754396319),POINT (4543496.880987612 -12494202.15821089),40.81492691540546,-73.94706754396319,193,22,7,222
53,POINT (40.79495381733678 -73.97083699367721),POINT (4541273.485881043 -12503777.81881798),40.79495381733678,-73.97083699367721,76,11,2,89
54,POINT (40.72186816192188 -74.00364228023571),POINT (4533137.627935964 -12517016.35461589),40.72186816192188,-74.00364228023571,105,22,1,128
55,POINT (40.87151110631852 -73.92337271924319),POINT (4549795.804307004 -12484670.29156558),40.87151110631852,-73.92337271924319,60,0,1,61
56,POINT (40.70990740319179 -74.01500094271337),POINT (4531806.162364627 -12521606.29276383),40.709907403191785,-74.01500094271337,21,0,0,21
57,POINT (40.7115520359101 -74.00891687323654),POINT (4531989.242041372 -12519147.37754989),40.711552035910096,-74.00891687323654,81,14,0,95
58,POINT (40.71052492665238 -73.98470135027067),POINT (4531874.904761814 -12509369.54195073),40.710524926652376,-73.98470135027067,86,6,1,93
59,POINT (40.71889696779959 -74.0021930648016),POINT (4532806.876119222 -12516430.9674179),40.71889696779959,-74.0021930648016,94,0,2,96
60,POINT (40.7512745515834 -73.9962674442455),POINT (4536411.132259152 -12514037.9457441),40.7512745515834,-73.9962674442455,162,21,1,184
61,POINT (40.7608605935491 -73.99279014678062),POINT (4537478.245569496 -12512634.06447034),40.760860593549104,-73.99279014678062,211,13,1,225
62,POINT (40.79650529240136 -73.93327215120692),POINT (4541446.19529521 -12488650.93382957),40.796505292401356,-73.93327215120692,83,0,1,84
63,POINT (40.79677474387735 -73.97438195426255),POINT (4541476.190496311 -12505207.11145334),40.79677474387735,-73.97438195426255,72,8,3,83
64,POINT (40.73721997210011 -74.00100183491199),POINT (4534846.583627759 -12515949.82798988),40.73721997210011,-74.00100183491199,168,8,0,176
65,POINT (40.73051955104781 -73.98245786474683),POINT (4534100.696168116 -12508464.38772377),40.73051955104781,-73.98245786474683,126,12,3,141
66,POINT (40.75851227023348 -73.99253839767462),POINT (4537216.831413784 -12512532.4379148),40.75851227023348,-73.99253839767462,264,13,2,279
67,POINT (40.72522305190181 -73.99941634676847),POINT (4533511.092580196 -12515309.50121467),40.72522305190181,-73.99941634676847,172,5,3,180
68,POINT (40.86083684565531 -73.92814536584406),POINT (4548607.55104538 -12486589.11363436),40.860836845655314,-73.92814536584406,79,0,1,80
69,POINT (40.83218065861136 -73.94332640095246),POINT (4545417.55889557 -12492696.27467208),40.83218065861136,-73.94332640095246,145,3,7,155
70,POINT (40.71999320982148 -74.00778244928442),POINT (4532928.909222885 -12518688.99370763),40.71999320982148,-74.00778244928442,81,14,0,95
71,POINT (40.75624847647916 -73.992674123558),POINT (4536964.827045792 -12512587.22780289),40.75624847647916,-73.992674123558,279,13,2,294
72,POINT (40.8273689777326 -73.93666247842684),POINT (4544881.925030286 -12490014.76101528),40.8273689777326,-73.93666247842684,113,5,7,125
73,POINT (40.72819086997974 -73.98345784512475),POINT (4533841.468577398 -12508867.82346669),40.72819086997974,-73.98345784512475,139,12,1,152
74,POINT (40.86782618080078 -73.92550042307188),POINT (4549385.600274757 -12485525.65723012),40.86782618080078,-73.92550042307188,57,0,2,59
75,POINT (40.81389671550819 -73.96187237391931),POINT (4543382.199659633 -12500164.74678916),40.813896715508186,-73.9618723739193,49,0,0,49
76,POINT (40.71322804678462 -73.97590731609409),POINT (4532175.814718488 -12505822.21682316),40.71322804678462,-73.9759073160941,35,0,0,35
77,POINT (40.80268464978843 -73.94535839966797),POINT (4542134.078212968 -12493514.15167264),40.80268464978843,-73.94535839966797,241,22,6,269
78,POINT (40.7970433849915 -73.96293729972979),POINT (4541506.095488343 -12500593.84817979),40.7970433849915,-73.96293729972979,71,0,0,71
79,POINT (40.71456954868812 -73.99249072612356),POINT (4532325.150027283 -12512513.19394813),40.71456954868812,-73.99249072612356,102,0,2,104
80,POINT (40.74401255698221 -73.99109380605528),POINT (4535602.730718004 -12511949.31252519),40.744012556982206,-73.99109380605528,346,0,2,348
81,POINT (40.70991787943499 -73.98317906969507),POINT (4531807.328574687 -12508755.35082137),40.70991787943499,-73.98317906969507,55,6,1,62
82,POINT (40.7260998423528 -73.99142768572396),POINT (4533608.696446732 -12512084.08219417),40.726099842352795,-73.99142768572396,234,10,2,246
83,POINT (40.80830819601861 -73.94720124084694),POINT (4542760.088515764 -12494255.98015633),40.80830819601861,-73.94720124084694,212,22,6,240
84,POINT (40.7934584370433 -73.94932908167296),POINT (4541107.020908229 -12495112.63728477),40.7934584370433,-73.94932908167296,150,9,2,161
85,POINT (40.72329442192532 -73.98480515947297),POINT (4533296.398473285 -12509411.42768734),40.723294421925324,-73.98480515947297,186,16,1,203
86,POINT (40.71946664043627 -73.97824824552546),POINT (4532870.291787055 -12506766.312451),40.719466640436266,-73.97824824552546,61,0,1,62
87,POINT (40.8560260767193 -73.92672029705405),POINT (4548072.0186971 -12486016.11275898),40.8560260767193,-73.92672029705405,71,0,1,72
88,POINT (40.7898964252589 -73.9408017339116),POINT (4540710.499570191 -12491680.23965472),40.7898964252589,-73.9408017339116,197,10,5,212
89,POINT (40.76998632297699 -73.99657542977774),POINT (4538494.117122526 -12514162.30235186),40.76998632297699,-73.99657542977774,23,0,1,24
90,POINT (40.83738359756566 -73.93424046473197),POINT (4545996.747410592 -12489040.42879564),40.83738359756566,-73.93424046473197,102,17,4,123
91,POINT (40.77868384130662 -73.96252793965732),POINT (4539462.320434146 -12500428.89727847),40.778683841306616,-73.96252793965732,57,12,0,69
92,POINT (40.78360740283853 -73.94535325558735),POINT (4540010.408796768 -12493512.08105922),40.78360740283853,-73.94535325558735,127,9,0,136
93,POINT (40.83256050251736 -73.9412385597527),POINT (4545459.842925767 -12491856.02610538),40.83256050251736,-73.9412385597527,156,3,4,163
94,POINT (40.76827817279719 -73.99504790163954),POINT (4538303.966714312 -12513545.54880522),40.76827817279719,-73.99504790163954,49,0,0,49
95,POINT (40.74370980729915 -74.00560427812786),POINT (4535569.028777448 -12517808.95431666),40.743709807299155,-74.00560427812786,85,8,0,93
96,POINT (40.80479616076042 -73.94910819872985),POINT (4542369.130539174 -12495023.70587128),40.80479616076042,-73.94910819872985,214,6,5,225
97,POINT (40.72889509279861 -74.00875821036183),POINT (4533919.862303 -12519083.26513499),40.72889509279861,-74.00875821036183,42,22,0,64
98,POINT (40.79584661578293 -73.95720641045526),POINT (4541372.871749449 -12498284.96969062),40.79584661578293,-73.95720641045526,46,0,1,47
99,POINT (40.71942570841335 -74.00972647976501),POINT (4532865.735255107 -12519474.53259639),40.71942570841335,-74.009726479765,69,14,0,83
