OBJECTID,Offense,Latitude,Longitude,geometry
1,RAPE,40.7431246,-73.95606807,POINT (4535503.883798898 -12497826.4471571)
2,ROBBERY,40.755442,-73.941645,POINT (4536875.050494795 -12492019.58903659)
3,ROBBERY,40.763911,-73.926024,POINT (4537817.815262323 -12485736.15912435)
4,RAPE,40.76949512,-73.91502417,POINT (4538439.436657252 -12481315.1263969)
5,RAPE,40.75656758,-73.87593153,POINT (4537000.349487242 -12465626.86327889)
6,ROBBERY,40.75326365,-73.86444773,POINT (4536632.557682026 -12461025.33662069)
7,ROBBERY,40.75177,-73.855195,POINT (4536466.285324601 -12457320.11195737)
8,RAPE,40.67998074,-73.77623391,POINT (4528474.741456976 -12425784.22580888)
9,ROBBERY,40.743537,-73.921946,POINT (4535549.791956902 -12484096.79289822)
10,ROBBERY,40.768408,-73.911311,POINT (4538318.41901242 -12479823.40001068)
11,ROBBERY,40.746713,-73.884707,POINT (4535903.342659661 -12469145.32058018)
12,ROBBERY,40.729936,-73.859672,POINT (4534035.735562623 -12459112.65339474)
13,ROBBERY,40.68148451,-73.85047828,POINT (4528642.140367647 -12455432.11260505)
14,ROBBERY,40.7301124,-73.86508294,POINT (4534055.372320798 -12461279.78019377)
15,ROBBERY,40.684386,-73.848956,POINT (4528965.132756989 -12454822.8919444)
16,ROBBERY,40.691612,-73.833498,POINT (4529769.52739746 -12448639.72104087)
17,ROBBERY,40.688984,-73.802421,POINT (4529476.979775655 -12436226.37360186)
18,ROBBERY,40.76226003,-73.75698278,POINT (4537634.030122608 -12418118.25987807)
19,ROBBERY,40.592247,-73.763953,POINT (4518708.266194787 -12420892.84002902)
20,ROBBERY,40.596202,-73.763912,POINT (4519148.534780874 -12420876.51609581)
21,ROBBERY,40.75783687,-73.913305,POINT (4537141.646203711 -12480624.42653842)
22,RAPE,40.74348126,-73.87400354,POINT (4535543.587008485 -12464854.10026188)
23,ROBBERY,40.760096,-73.868984,POINT (4537393.131404947 -12462842.62632509)
24,ROBBERY,40.750846,-73.869386,POINT (4536363.42611511 -12463003.69683247)
25,ROBBERY,40.739447,-73.864982,POINT (4535094.495239557 -12461239.34640308)
26,ROBBERY,40.68031491,-73.84201904,POINT (4528511.941091215 -12452047.40886574)
27,ROBBERY,40.742324,-73.815331,POINT (4535414.761414569 -12441380.30650032)
28,ROBBERY,40.707233,-73.802508,POINT (4531508.449163142 -12436261.09237814)
29,ROBBERY,40.598483,-73.74389,POINT (4519402.454539374 -12412909.65142914)
30,RAPE,40.7431246,-73.95606807,POINT (4535503.883798898 -12497826.4471571)
31,ROBBERY,40.752425,-73.91494,POINT (4536539.199591072 -12481281.30828485)
32,ROBBERY,40.762606,-73.916041,POINT (4537672.543326838 -12481723.68546459)
33,ROBBERY,40.704218,-73.8767,POINT (4531172.820898401 -12465934.90094158)
34,ROBBERY,40.75744192,-73.86746404,POINT (4537097.680570822 -12462233.6548529)
35,ROBBERY,40.745957,-73.868175,POINT (4535819.18512462 -12462518.49378949)
36,ROBBERY,40.728375,-73.814941,POINT (4533861.965837494 -12441224.55201798)
37,RAPE,40.73011307,-73.81090891,POINT (4534055.446904857 -12439614.46841488)
38,ROBBERY,40.68135,-73.772659,POINT (4528627.16678294 -12424359.99680011)
39,ROBBERY,40.705644,-73.794427,POINT (4531331.562492272 -12433037.01106019)
40,ROBBERY,40.667391,-73.757156,POINT (4527073.258010956 -12418187.19814913)
41,RAPE,40.7431246,-73.95606807,POINT (4535503.883798898 -12497826.4471571)
42,RAPE,40.76949512,-73.91502417,POINT (4538439.436657252 -12481315.1263969)
43,ROBBERY,40.753852,-73.901667,POINT (4536698.052504434 -12475950.59125372)
44,RAPE,40.70443503,-73.89378071,POINT (4531196.980567487 -12472785.31678296)
45,ROBBERY,40.755315,-73.887692,POINT (4536860.912919465 -12470342.5585375)
46,ROBBERY,40.75684993,-73.87311053,POINT (4537031.780545468 -12464496.20092371)
47,ROBBERY,40.70025999,-73.80867321,POINT (4530732.217240646 -12438721.88274324)
48,ROBBERY,40.587654,-73.810559,POINT (4518196.975773573 -12439474.76167625)
49,ROBBERY,40.59198,-73.800066,POINT (4518678.543890744 -12435286.64118382)
50,ROBBERY,40.703546,-73.799675,POINT (4531098.014200588 -12435130.63053923)
51,ROBBERY,40.704094,-73.800656,POINT (4531159.017281542 -12435522.0606024)
52,ROBBERY,40.74914322,-73.91560089,POINT (4536173.873512576 -12481546.84757646)
53,ROBBERY,40.70368788,-73.90917367,POINT (4531113.808209941 -12478964.90250039)
54,ROBBERY,40.74582974,-73.90109717,POINT (4535805.018606222 -12475721.8313003)
55,ROBBERY,40.749306,-73.888502,POINT (4536191.994099287 -12470667.47442526)
56,ROBBERY,40.70512357,-73.81190532,POINT (4531273.628489678 -12440012.31593308)
57,ROBBERY,40.674992,-73.768897,POINT (4527919.397460476 -12422861.56160156)
58,ROBBERY,40.758511,-73.781002,POINT (4537216.69001204 -12427684.28805563)
59,ROBBERY,40.772921,-73.933414,POINT (4538820.803874371 -12488707.98973743)
60,ROBBERY,40.74377317,-73.91382854,POINT (4535576.082281042 -12480834.75822184)
61,RAPE,40.74348126,-73.87400354,POINT (4535543.587008485 -12464854.10026188)
62,RAPE,40.75656758,-73.87593153,POINT (4537000.349487242 -12465626.86327889)
63,ROBBERY,40.749918,-73.862239,POINT (4536260.121627653 -12460140.67021637)
64,ROBBERY,40.728604,-73.851305,POINT (4533887.458000885 -12455762.99165429)
65,ROBBERY,40.74726832,-73.85698205,POINT (4535965.160599289 -12458035.56904489)
66,ROBBERY,40.66873504,-73.84227357,POINT (4527222.875859363 -12452149.22601718)
67,ROBBERY,40.755875,-73.827027,POINT (4536923.251834309 -12446053.0417372)
68,ROBBERY,40.70926369,-73.82835941,POINT (4531734.504539901 -12446585.56907374)
69,ROBBERY,40.70247387,-73.79992086,POINT (4530978.665234922 -12435228.72928568)
70,ROBBERY,40.75770953,-73.93215078,POINT (4537127.470779753 -12488199.90141638)
71,ROBBERY,40.74380795,-73.924258,POINT (4535579.953972931 -12485026.17299165)
72,ROBBERY,40.72488816,-73.898978,POINT (4533473.812584216 -12474871.15334667)
73,ROBBERY,40.762913,-73.874758,POINT (4537706.718410512 -12465156.48675452)
74,RAPE,40.69932416,-73.83157089,POINT (4530628.041121577 -12447869.28412344)
75,ROBBERY,40.752324,-73.829995,POINT (4536527.956322501 -12447239.32743952)
76,ROBBERY,40.756001,-73.832374,POINT (4536937.278090148 -12448190.34761151)
77,ROBBERY,40.73973951,-73.92317643,POINT (4535127.057303809 -12484591.38619298)
78,ROBBERY,40.680351,-73.844265,POINT (4528515.958611637 -12452945.892216)
