,0,geometry,Latitude,Longitude,RAPE,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
0,POINT (40.75795542196262 -73.86400122654051),POINT (4537154.843347822 -12460846.48832057),40.75795542196262,-73.86400122654051,0,139,2,141
1,POINT (40.68617799305367 -73.78416269986445),POINT (4529164.616511228 -12428944.11224094),40.68617799305367,-73.78416269986445,0,13,0,13
2,POINT (40.73379008045981 -73.74544487256314),POINT (4534464.769836884 -12413528.00178942),40.73379008045981,-73.74544487256314,0,11,0,11
3,POINT (40.68571718935679 -73.84587330874477),POINT (4529113.320078336 -12453589.36156304),40.685717189356794,-73.84587330874477,0,43,1,44
4,POINT (40.7368040761522 -73.76746498346515),POINT (4534800.286302615 -12422291.26657498),40.736804076152204,-73.76746498346515,0,1,0,1
5,POINT (40.74753973699362 -73.90296410671161),POINT (4535995.37460081 -12476471.34800983),40.747539736993616,-73.90296410671161,0,49,0,49
6,POINT (40.76586066874705 -73.81272291853834),POINT (4538034.85139446 -12440338.78524524),40.765860668747045,-73.81272291853834,0,10,0,10
7,POINT (40.76765093747574 -73.93494630380825),POINT (4538234.143197721 -12489324.36029824),40.767650937475736,-73.93494630380825,0,33,1,34
8,POINT (40.75999339223151 -73.92990092432247),POINT (4537381.709160407 -12487295.06795086),40.759993392231515,-73.92990092432247,0,28,0,28
9,POINT (40.65914423967081 -73.76367496346072),POINT (4526155.232850417 -12420782.14203735),40.65914423967081,-73.76367496346072,0,6,0,6
10,POINT (40.69880454865066 -73.74580955337079),POINT (4530570.198250757 -12413673.03841172),40.698804548650656,-73.74580955337079,0,10,0,10
11,POINT (40.70372074028958 -73.87601636697913),POINT (4531117.466200644 -12465660.86908974),40.70372074028958,-73.87601636697913,0,13,0,13
12,POINT (40.59967467468459 -73.79499407049028),POINT (4519535.111158453 -12433263.2044564),40.599674674684586,-73.79499407049028,0,7,0,7
13,POINT (40.72355868435997 -73.86640337301934),POINT (4533325.816032946 -12461808.73206225),40.72355868435997,-73.86640337301934,0,26,0,26
14,POINT (40.7405394751931 -73.83157619774239),POINT (4535216.109021757 -12447871.40597644),40.7405394751931,-73.8315761977424,0,21,0,21
15,POINT (40.72214514824083 -73.84276236109726),POINT (4533168.461911945 -12452344.75672645),40.72214514824083,-73.84276236109726,0,18,0,18
16,POINT (40.57887163591587 -73.85564112298493),POINT (4517219.327475767 -12457498.71297505),40.57887163591587,-73.85564112298493,0,0,0,0
17,POINT (40.67258690907489 -73.75737315960737),POINT (4527651.663963381 -12418273.62456025),40.67258690907489,-73.75737315960737,0,8,2,10
18,POINT (40.71039608152667 -73.83116607375359),POINT (4531860.561788029 -12447707.45449777),40.710396081526675,-73.8311660737536,15,17,0,32
19,POINT (40.7510950771149 -73.94141817865463),POINT (4536391.153252709 -12491928.30928175),40.751095077114904,-73.94141817865463,0,66,1,67
20,POINT (40.73579587199602 -73.94484612939816),POINT (4534688.053529332 -12493307.9540132),40.73579587199602,-73.94484612939816,0,10,0,10
21,POINT (40.68769435725849 -73.77073158417925),POINT (4529333.417402366 -12423592.24917722),40.68769435725849,-73.77073158417925,0,10,0,10
22,POINT (40.59815005670589 -73.77924033628888),POINT (4519365.391461411 -12426982.20974514),40.59815005670589,-73.77924033628888,0,4,0,4
23,POINT (40.74642451779724 -73.90565662820433),POINT (4535871.228967747 -12477552.46024735),40.746424517797244,-73.90565662820433,0,48,1,49
24,POINT (40.70317329205844 -73.77230886692061),POINT (4531056.524542319 -12424220.52168059),40.703173292058445,-73.77230886692061,0,22,0,22
25,POINT (40.65756577073895 -73.77011002839917),POINT (4525979.518492689 -12423344.68375783),40.65756577073895,-73.77011002839917,0,6,0,6
26,POINT (40.59762508021256 -73.78213789069503),POINT (4519306.951345494 -12428137.01551998),40.59762508021256,-73.78213789069503,0,8,0,8
27,POINT (40.76702978656451 -73.77641278440525),POINT (4538164.996994578 -12425855.49663706),40.767029786564514,-73.77641278440525,0,1,0,1
28,POINT (40.74311621681911 -73.82536071216131),POINT (4535502.95058747 -12445387.13277341),40.74311621681911,-73.82536071216131,0,29,0,29
29,POINT (40.69275340219004 -73.8785934930231),POINT (4529896.587708046 -12466693.95990235),40.69275340219004,-73.8785934930231,0,2,1,3
30,POINT (40.77626202388538 -73.7959879739816),POINT (4539192.724952019 -12433659.67182327),40.77626202388538,-73.7959879739816,0,1,0,1
31,POINT (40.69731747293602 -73.8083866574364),POINT (4530404.657739433 -12438607.48755451),40.69731747293602,-73.8083866574364,0,113,1,114
32,POINT (40.71924912586621 -73.87775906193428),POINT (4532846.078175877 -12466359.4444652),40.71924912586621,-73.87775906193428,0,11,0,11
33,POINT (40.68027703118688 -73.73248722399045),POINT (4528507.724441026 -12408376.689848),40.68027703118688,-73.73248722399045,0,6,0,6
34,POINT (40.75433865856676 -73.8096070234139),POINT (4536752.227088275 -12439094.68582872),40.75433865856676,-73.8096070234139,0,10,0,10
35,POINT (40.68721025809479 -73.73116332626279),POINT (4529279.527729969 -12407850.59924498),40.68721025809479,-73.73116332626279,0,6,0,6
36,POINT (40.74766743904696 -73.76110417689814),POINT (4536009.590328362 -12419758.69160034),40.747667439046964,-73.76110417689814,0,8,0,8
