OBJECTID,Complaint ID,Offense,Latitude,Longitude,geometry
1,261214832,ROBBERY,40.643566,-74.074001,POINT (4524421.071142807 -12545498.93226035)
2,261233859,ROBBERY,40.635961,-74.161365,POINT (4523574.486415324 -12581036.66299511)
3,261233841,ROBBERY,40.643569,-74.098338,POINT (4524421.405101279 -12555379.56065197)
4,261261343,ROBBERY,40.630408,-74.142977,POINT (4522956.329282949 -12573540.99270887)
5,261347872,ROBBERY,40.630539,-74.076641,POINT (4522970.912136243 -12546570.03977049)
6,261434927,ROBBERY,40.63713502,-74.12347311,POINT (4523705.177723905 -12565599.69173739)
7,261431397,ROBBERY,40.643996,-74.076502,POINT (4524468.938523849 -12546513.6400231)
8,261466791,ROBBERY,40.524027,-74.214885,POINT (4511114.050532869 -12602901.87150751)
9,261493026,ROBBERY,40.634941,-74.086335,POINT (4523460.940534715 -12550504.59848464)
10,261548611,ROBBERY,40.633764,-74.127213,POINT (4523329.917494051 -12567121.70715321)
11,261586618,ROBBERY,40.63681,-74.11865,POINT (4523668.996663007 -12563637.35611541)
12,261612375,ROBBERY,40.627054,-74.077144,POINT (4522582.963710829 -12546774.13782836)
13,261676947,ROBBERY,40.6423,-74.081657,POINT (4524280.140667463 -12548605.62070736)
14,261661952,ROBBERY,40.647119,-74.088178,POINT (4524816.589293595 -12551252.89147122)
15,261775688H1,MURDER & NON-NEGL. MANSLAUGHTER,40.63325,-74.120539,POINT (4523272.699275783 -12564405.84746946)
16,261860831,ROBBERY,40.64120901,-74.08290054,POINT (4524158.692216202 -12549110.36774435)
17,261852145,ROBBERY,40.64184556,-74.08324005,POINT (4524229.552638066 -12549248.17993204)
18,261843553,ROBBERY,40.606321,-74.065039,POINT (4520274.976708211 -12541864.13653854)
19,261926303,ROBBERY,40.608453,-74.082436,POINT (4520512.309862582 -12548921.80864876)
20,261895324,ROBBERY,40.5704668,-74.10976191,POINT (4516283.705421411 -12560022.65880571)
21,261958745,RAPE,40.64472094,-74.07703272,POINT (4524549.638475504 -12546728.98414244)
22,262170680,ROBBERY,40.626851,-74.163438,POINT (4522560.365854197 -12581882.23091505)
23,262015386,ROBBERY,40.63776,-74.076476,POINT (4523774.750179261 -12546503.09048331)
24,262115666,ROBBERY,40.637099,-74.087683,POINT (4523701.167995847 -12551051.90378156)
25,262122253,ROBBERY,40.629262,-74.07943,POINT (4522828.7571465 -12547701.78786388)
26,262254386,ROBBERY,40.571641,-74.09304,POINT (4516414.4167675 -12553227.36101616)
27,262235449,ROBBERY,40.647119,-74.088178,POINT (4524816.589293595 -12551252.89147122)
28,262242179,ROBBERY,40.639659,-74.097776,POINT (4523986.145892277 -12555151.2270072)
29,262325373,ROBBERY,40.537482,-74.15026,POINT (4512611.854281493 -12576508.81584385)
30,262426205,ROBBERY,40.63457814,-74.14583171,POINT (4523420.547144286 -12574704.12898534)
31,262494382,ROBBERY,40.64322,-74.075921,POINT (4524382.554598993 -12546277.90238572)
