,0,geometry,Latitude,Longitude,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,RAPE,Total Crimes
0,POINT (40.52387241754347 -74.23366146026291),POINT (4511096.842492523 -12610589.98124872),40.523872417543465,-74.23366146026291,1,0,0,1
1,POINT (40.55943250795471 -74.17463082822947),POINT (4515055.373649665 -12586449.60223892),40.55943250795471,-74.17463082822947,1,0,0,1
2,POINT (40.60801789802871 -74.15421425322394),POINT (4520463.874532695 -12578120.73099329),40.608017898028706,-74.15421425322394,0,0,0,0
3,POINT (40.5410323282604 -74.20312064578678),POINT (4513007.07501559 -12598089.44161991),40.5410323282604,-74.20312064578678,1,0,0,1
4,POINT (40.62316649134581 -74.08020245363903),POINT (4522150.208226989 -12548015.27591909),40.623166491345806,-74.08020245363903,27,5,0,32
5,POINT (40.60981173910719 -74.08664394695749),POINT (4520663.564008115 -12550630.03092431),40.60981173910719,-74.0866439469575,15,1,0,16
6,POINT (40.62250083674353 -74.09373873820539),POINT (4522076.10789562 -12553511.16854766),40.622500836743534,-74.09373873820539,4,0,0,4
7,POINT (40.59371765445102 -74.1101023529889),POINT (4518871.978699408 -12560161.07728105),40.59371765445102,-74.1101023529889,1,0,0,1
8,POINT (40.61285454269169 -74.07395570498038),POINT (4521002.287353725 -12545480.5565591),40.612854542691686,-74.07395570498038,7,0,0,7
9,POINT (40.60129960656483 -74.06942722397932),POINT (4519715.997747935 -12543643.65755302),40.60129960656483,-74.06942722397932,6,0,0,6
10,POINT (40.60015256452181 -74.15570796308801),POINT (4519588.309611787 -12578729.73014572),40.60015256452181,-74.155707963088,1,0,0,1
11,POINT (40.54347534175864 -74.17111927722274),POINT (4513279.030034215 -12585016.33185762),40.54347534175864,-74.17111927722274,2,0,0,2
12,POINT (40.59269293550201 -74.10462756658045),POINT (4518757.907507798 -12557935.47016482),40.592692935502015,-74.10462756658045,2,0,0,2
13,POINT (40.62886903716362 -74.08761020475413),POINT (4522785.012723654 -12551022.346824),40.62886903716362,-74.08761020475413,18,1,0,19
14,POINT (40.55120712678037 -74.13981194047913),POINT (4514139.728405757 -12572251.64466056),40.55120712678037,-74.13981194047913,0,1,0,1
15,POINT (40.57913253586512 -74.0999710364797),POINT (4517248.370725266 -12556043.08777734),40.57913253586512,-74.0999710364797,2,0,0,2
16,POINT (40.55219874434304 -74.1671333433321),POINT (4514250.114767896 -12583389.81333168),40.552198744343045,-74.1671333433321,1,0,0,1
17,POINT (40.63961762048603 -74.11962065519137),POINT (4523981.539545853 -12564032.23123931),40.63961762048603,-74.11962065519137,5,1,0,6
18,POINT (40.55309526437205 -74.11367323889601),POINT (4514349.914921011 -12561613.11440226),40.553095264372054,-74.11367323889601,0,0,0,0
19,POINT (40.5655262321627 -74.10569637300185),POINT (4515733.723925534 -12558369.9020839),40.5655262321627,-74.10569637300185,4,0,7,11
20,POINT (40.58535816191375 -74.13524768195383),POINT (4517941.404246869 -12570392.74727297),40.58535816191375,-74.13524768195383,0,0,0,0
21,POINT (40.51367458119856 -74.21703691377081),POINT (4509961.624543415 -12603782.53036835),40.513674581198565,-74.21703691377081,3,0,0,3
22,POINT (40.55732935557592 -74.12855900457308),POINT (4514821.251797797 -12567669.57339605),40.55732935557592,-74.12855900457308,0,0,0,0
23,POINT (40.57568935332969 -74.10627464714227),POINT (4516865.077398713 -12558604.96188585),40.57568935332969,-74.10627464714227,7,0,7,14
24,POINT (40.6155657760447 -74.18070324122317),POINT (4521304.100470006 -12588928.84240744),40.615565776044704,-74.18070324122317,0,0,0,0
25,POINT (40.61667509494653 -74.07478251766827),POINT (4521427.589285284 -12545815.99357214),40.61667509494653,-74.07478251766827,13,1,0,14
26,POINT (40.54191502973082 -74.14866951109384),POINT (4513105.3368938 -12575860.57808902),40.54191502973082,-74.14866951109384,3,1,0,4
