OBJECTID,facname,Public Area,Public Area (supergroup),boro,Latitude,Longitude,geometry,RAPE,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
3,IRVING SQUARE PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.6924428,-73.90918444,POINT (4529862.011630411 -12478969.22818867),0,92,1,93
5,GRAVESEND LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.5906025,-73.9717539,POINT (4518525.201292178 -12504147.47675876),0,20,0,20
22,DEKALB LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6947857,-73.9284044,POINT (4530122.822065391 -12486693.27307606),0,94,4,98
36,MIDWOOD LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6248494,-73.9643882,POINT (4522337.548761426 -12501178.51884128),0,22,0,22
41,UNITED COMMUNITY CENTERS YOUTH FARM,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.65969661,-73.90787579,POINT (4526216.722434191 -12478443.63954236),0,105,2,107
66,FARMERS GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.67460729,-73.91821912,POINT (4527876.571739173 -12482598.93180298),0,69,2,71
73,CADMAN PLAZA PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.69844344,-73.99062617,POINT (4530529.999819645 -12511760.55703663),0,48,0,48
137,NEW UTRECHT LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6080187,-74.0033411,POINT (4520463.963807731 -12516894.69346645),9,29,0,38
149,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.68224923,-74.00263014,POINT (4528727.268608646 -12516607.51145482),4,22,1,27
202,HIGHLAWN LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.60568909,-73.98623034,POINT (4520204.632808784 -12509986.49723782),0,18,1,19
203,CRYSTAL WELLS BLOCK ASSOCIATION,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.67807463,-73.87539702,POINT (4528262.55426238 -12465412.61583252),0,86,1,87
204,BENSONHURST PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.59651286,-74.00130225,POINT (4519183.139557782 -12516071.16277665),9,24,0,33
248,MARCY LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6916309,-73.9512645,POINT (4529771.631335837 -12495891.9222015),0,82,4,86
264,CORTELYOU LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.64058562,-73.96597548,POINT (4524089.296758836 -12501818.20557808),0,33,1,34
270,JAMAICA BAY LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.63452505,-73.88924763,POINT (4523414.637192519 -12470966.58358533),0,14,0,14
283,BOROUGH PARK LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6388562,-73.9890175,POINT (4523896.778605068 -12511111.27836295),0,4,0,4
290,HARMONY TRIANGLE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.70327088,-73.95039703,POINT (4531067.38798228 -12495542.62914338),9,66,2,77
300,CARROLL GARDENS LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.68321273,-73.99801786,POINT (4528834.524938025 -12514744.74946232),4,14,0,18
