,OBJECTID,facname,Public Area,Public Area (supergroup),Latitude,Longitude,geometry,ROBBERY,RAPE,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
0,4106,BRADHURST AVE GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.82766577,-73.93932631,POINT (4544914.963794366 -12491086.53737347),175,0,8,183
1,4107,DAMROSCH PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.77221286,-73.98499396,POINT (4538741.974090161 -12509487.60705606),117,8,2,127
2,4108,CHELSEA PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.74994165,-74.00072826,POINT (4536262.75433361 -12515839.33562431),99,8,1,108
3,4109,METROPOLITAN TOWER,PRIVATELY OWNED PUBLIC SPACE,PARKS AND PLAZAS,40.76480065,-73.97923836,POINT (4537916.850647307 -12507165.66552904),77,0,0,77
4,4110,BEL CANTO,PRIVATELY OWNED PUBLIC SPACE,PARKS AND PLAZAS,40.77527793,-73.98263755,POINT (4539083.176121806 -12508536.87879215),72,8,0,80
5,4111,"733 PARK AVENUE, NEW YORK, NY 10021",PRIVATELY OWNED PUBLIC SPACE,PARKS AND PLAZAS,40.77008343,-73.96411788,POINT (4538504.92702688 -12501069.58382932),89,12,0,101
6,4112,BLEECKER PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.73635227,-74.00556527,POINT (4534749.991471814 -12517793.1950538),95,8,0,103
7,4113,MARGRICHANTE GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.81375189,-73.94344304,POINT (4543366.077757807 -12492743.21901974),221,22,8,251
8,4114,EAST PROMENADE,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.765531,-73.945446,POINT (4537998.152837409 -12493549.4129655),3,0,0,3
9,4115,COLONELS ROW,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.690715,-74.018823,POINT (4529669.673814218 -12523151.46762134),0,0,0,0
10,4116,PECK SLIP,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.70757117,-74.00138844,POINT (4531546.094075344 -12516105.97450463),36,0,2,38
11,4117,JEFFERSON MARKET LIBRARY,PUBLIC LIBRARIES,LIBRARIES,40.73460467,-73.9991669,POINT (4534555.449529704 -12515208.76345385),194,8,1,203
12,4118,GRAND CENTRAL LIBRARY,PUBLIC LIBRARIES,LIBRARIES,40.754072,-73.97349847,POINT (4536722.542792409 -12504850.87063774),76,5,0,81
13,4119,MACOMB'S BRIDGE LIBRARY,PUBLIC LIBRARIES,LIBRARIES,40.82536667,-73.93551246,POINT (4544659.029153083 -12489552.11160867),84,0,6,90
14,4120,STAVROS NIARCHOS FOUNDATION LIBRARY (SNFL),PUBLIC LIBRARIES,LIBRARIES,40.75177795,-73.98152665,POINT (4536467.170314554 -12508088.71709315),160,0,2,162
15,4121,DONNELLAN SQUARE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.82707785,-73.94270307,POINT (4544849.516839338 -12492445.40492436),180,25,9,214
16,4122,YORKVILLE LIBRARY,PUBLIC LIBRARIES,LIBRARIES,40.7736055,-73.95640656,POINT (4538897.002065819 -12497962.78732178),82,0,1,83
17,4123,OCTAGON PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.768097,-73.945696,POINT (4538283.798650783 -12493650.04515786),14,0,0,14
18,4124,TRAMWAY PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.76102561,-73.96436296,POINT (4537496.615116782 -12501168.34741422),87,10,0,97
