,OBJECTID,facname,Public Area,Public Area (supergroup),Latitude,Longitude,geometry,RAPE,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
0,3732,JACKSON HEIGHTS,PUBLIC LIBRARIES,LIBRARIES,40.75020165,-73.88506857,POINT (4536291.697401216 -12469290.32929897),0,147,2,149
1,3733,AUBURNDALE,PUBLIC LIBRARIES,LIBRARIES,40.77375075,-73.79634885,POINT (4538913.171221856 -12433803.63085635),0,2,0,2
2,3734,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.72875803,-73.87927298,POINT (4533904.604542052 -12466966.37217907),0,20,0,20
3,3735,POMONOK,PUBLIC LIBRARIES,LIBRARIES,40.73303298,-73.80987895,POINT (4534380.489799218 -12439203.25006931),9,17,0,26
4,3736,CORONA,PUBLIC LIBRARIES,LIBRARIES,40.75089038,-73.86198024,POINT (4536368.366474111 -12460037.03634398),0,164,3,167
5,3737,MIDLAND MALLS,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.71714593,-73.78411476,POINT (4532611.951483012 -12428925.00209313),0,31,0,31
6,3738,SOUTH JAMAICA,PUBLIC LIBRARIES,LIBRARIES,40.69563016,-73.79017747,POINT (4530216.826922586 -12431342.20124881),0,54,1,55
7,3739,NORELLI-HARGREAVES PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.69017934,-73.80873758,POINT (4529610.04441578 -12438747.58028322),0,74,0,74
8,3740,STRIPPOLI SQUARE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.75718633,-73.90757266,POINT (4537069.228422171 -12478321.9004078),0,39,2,41
9,3741,GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.59701637,-73.76857927,POINT (4519239.190034592 -12422735.0226359),0,11,0,11
10,3742,PETERS FIELD,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.70601481,-73.77483943,POINT (4531372.840872652 -12425228.63455496),0,25,0,25
11,3743,HERMON A. MACNEIL PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.79305958,-73.85170668,POINT (4541062.62034527 -12455923.76243155),0,8,0,8
12,3744,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.70765776,-73.85901226,POINT (4531555.733230051 -12458848.47036939),0,11,0,11
13,3745,PARK,UNDEVELOPED,PARKS AND PLAZAS,40.60082137,-73.82223777,POINT (4519662.760697059 -12444139.27180534),0,2,0,2
14,3746,FRANK PRINCIPE PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.72746742,-73.90473914,POINT (4533760.934494039 -12477184.04685621),0,11,1,12
15,3747,ROSEDALE,PUBLIC LIBRARIES,LIBRARIES,40.65996352,-73.73990711,POINT (4526246.43471948 -12411325.97607661),0,10,0,10
16,3748,ROCHDALE VILLAGE,PUBLIC LIBRARIES,LIBRARIES,40.67287599,-73.77058657,POINT (4527683.844304763 -12423534.48926227),0,15,0,15
17,3749,WOODHAVEN,PUBLIC LIBRARIES,LIBRARIES,40.69454527,-73.86144041,POINT (4530096.057520219 -12459820.83860886),0,16,0,16
18,3750,PARK,UNDEVELOPED,PARKS AND PLAZAS,40.59249194,-73.75941774,POINT (4518735.532790862 -12419087.39338325),0,10,4,14
19,3751,PLANEVIEW PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.76732683,-73.88439153,POINT (4538198.063718559 -12469018.80299007),0,15,1,16
20,3752,MAPLE GROVE PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.71194941,-73.82416643,POINT (4532033.477522714 -12444909.89544786),0,8,0,8
21,3753,LEFFERTS,PUBLIC LIBRARIES,LIBRARIES,40.68690143,-73.8248392,POINT (4529245.149143714 -12445178.73134631),0,37,0,37
22,3754,ARVERNE,PUBLIC LIBRARIES,LIBRARIES,40.59314455,-73.78403978,POINT (4518808.181003748 -12428895.11311423),0,12,0,12
23,3755,PATRICIA A. BRACKLEY PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.58139737,-73.84577716,POINT (4517500.490907891 -12453550.89159344),0,1,0,1
24,3756,NORTH FOREST PARK,PUBLIC LIBRARIES,LIBRARIES,40.71118636,-73.85367191,POINT (4531948.535185264 -12456710.39381726),5,9,0,14
25,3757,MACDONALD PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.72223725,-73.84680327,POINT (4533178.714632877 -12453961.45885163),0,20,0,20
