,OBJECTID,Public Area,Latitude,Longitude,geometry,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,RAPE,Total Crimes
0,367,Parks and Other Outdoor Areas,40.61453272,-74.07418481,POINT (4521189.101197148 -12545573.50251867),10,1,0,11
1,368,Parks and Other Outdoor Areas,40.51039165,-74.23040501,POINT (4509596.170314082 -12609255.97302441),0,0,0,0
2,369,PUBLIC LIBRARIES,40.59580191,-74.06302664,POINT (4519103.996965802 -12541048.24008654),5,0,0,5
3,370,PUBLIC LIBRARIES,40.59039493,-74.10113836,POINT (4518502.094705474 -12556517.42945896),2,0,0,2
4,371,Parks and Other Outdoor Areas,40.63874795,-74.0838988,POINT (4523884.728270191 -12549515.58457981),24,0,0,24
5,372,Parks and Other Outdoor Areas,40.6365637,-74.16047118,POINT (4523641.578672426 -12580672.11087435),4,1,0,5
6,373,Parks and Other Outdoor Areas,40.57626674,-74.20338144,POINT (4516929.351788843 -12598196.0865269),0,0,0,0
7,374,Parks and Other Outdoor Areas,40.60869014,-74.11957807,POINT (4520538.708166629 -12564014.90653783),10,0,0,10
8,375,Parks and Other Outdoor Areas,40.63929738,-74.12093436,POINT (4523945.890538017 -12564566.7008486),6,1,0,7
9,376,Parks and Other Outdoor Areas,40.52690108,-74.16361518,POINT (4511433.991654969 -12581954.50688951),0,0,0,0
10,377,Parks and Other Outdoor Areas,40.53839631,-74.18713697,POINT (4512713.634805121 -12591556.61230399),0,0,0,0
11,378,Parks and Other Outdoor Areas,40.60641151,-74.14186022,POINT (4520285.052235323 -12573086.02220738),1,0,0,1
12,379,Parks and Other Outdoor Areas,40.64356867,-74.07984294,POINT (4524421.368365848 -12547869.37116873),41,0,15,56
13,380,Parks and Other Outdoor Areas,40.6410907,-74.08171819,POINT (4524145.522007246 -12548630.45654201),24,0,0,24
14,381,PUBLIC LIBRARIES,40.53405756,-74.19323522,POINT (4512230.64736444 -12594048.32238212),2,0,0,2
15,382,"STREETSCAPES, PLAZAS, AND MALLS",40.63095171,-74.09126516,POINT (4523016.854803287 -12552506.52622434),5,0,0,5
16,383,PUBLIC LIBRARIES,40.50953037,-74.24410519,POINT (4509500.293063051 -12614870.0783522),1,0,0,1
17,384,Parks and Other Outdoor Areas,40.59666529,-74.11986246,POINT (4519200.107987763 -12564130.6042309),5,0,0,5
18,385,Parks and Other Outdoor Areas,40.52543495,-74.18494128,POINT (4511270.782809932 -12590659.69519596),0,0,0,0
19,386,Parks and Other Outdoor Areas,40.60497656,-74.0790186,POINT (4520125.314332008 -12547534.83374726),9,1,0,10
20,387,Parks and Other Outdoor Areas,40.54703087,-74.15179769,POINT (4513674.829627544 -12577135.59453891),3,1,0,4
21,388,Parks and Other Outdoor Areas,40.5911601,-74.13105937,POINT (4518587.273040244 -12568687.42101481),2,0,0,2
22,389,Parks and Other Outdoor Areas,40.62827922,-74.11756786,POINT (4522719.354577338 -12563197.15524331),7,1,0,8
23,390,Parks and Other Outdoor Areas,40.54846167,-74.17394668,POINT (4513834.105554971 -12586170.33682532),5,0,0,5
