,OBJECTID,facname,Public Area,Public Area (supergroup),Latitude,Longitude,geometry,RAPE,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
0,5348,ST. LUKE'S PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.80563735,-73.91538428,POINT (4542462.771296985 -12481459.8145765),0,212,5,217
1,5349,SOUNDVIEW LIBRARY,PUBLIC LIBRARIES,LIBRARIES,40.8187075,-73.86288913,POINT (4543917.733739577 -12460401.05565605),0,70,0,70
2,5350,HORSESHOE PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.82412122,-73.89769157,POINT (4544520.386293274 -12474354.80733777),14,196,3,213
3,5351,BAYCHESTER LIBRARY,PUBLIC LIBRARIES,LIBRARIES,40.87027777,-73.82861053,POINT (4549658.509936049 -12446685.93955826),0,26,0,26
4,5352,ESTELLA DIGGS PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.82893819,-73.90617737,POINT (4545056.608940841 -12477761.57094261),0,210,8,218
5,5353,MOSHOLU LIBRARY,PUBLIC LIBRARIES,LIBRARIES,40.87438275,-73.87839365,POINT (4550115.474219365 -12466613.84321216),32,70,4,106
6,5354,AQUEDUCT WALK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.86512705,-73.90216177,POINT (4549085.13440843 -12476149.22454026),16,222,3,241
7,5355,CROTONA PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.8400331,-73.89534671,POINT (4546291.688672437 -12473413.73304262),0,125,4,129
8,5356,WAKEFIELD LIBRARY,PUBLIC LIBRARIES,LIBRARIES,40.89109762,-73.85952283,POINT (4551976.16503644 -12459052.91957746),0,85,3,88
9,5357,BRYAN PARK PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.86217216,-73.89421776,POINT (4548756.19755828 -12472960.69351042),0,257,4,261
10,5358,GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.82848998,-73.90625337,POINT (4545006.714431872 -12477792.09028986),0,214,8,222
11,5359,CASTLE HILL PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.81190303,-73.84750276,POINT (4543160.263604059 -12454241.35342709),0,16,1,17
12,5360,GARDEN OF EDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.84346358,-73.90739365,POINT (4546673.567959215 -12478250.00978447),0,210,6,216
13,5361,WOODSTOCK LIBRARY,PUBLIC LIBRARIES,LIBRARIES,40.82064019,-73.9046281,POINT (4544132.879806238 -12477139.46061495),0,228,7,235
14,5362,GRANJA FARM OTF,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.81569714,-73.91151991,POINT (4543582.621997272 -12479907.31847273),24,190,3,217
