OBJECTID,Offense,Latitude,Longitude,geometry
1,RAPE,40.81035186,-73.92494233,POINT (4542987.588149524 -12485301.28561605)
2,ROBBERY,40.828667,-73.92545,POINT (4545026.420208133 -12485505.38519928)
3,RAPE,40.83784212,-73.91962775,POINT (4546047.7898945 -12483165.03105938)
4,RAPE,40.83784212,-73.91962775,POINT (4546047.7898945 -12483165.03105938)
5,ROBBERY,40.83577855,-73.91647394,POINT (4545818.074332884 -12481897.64701583)
6,RAPE,40.82227104,-73.91169778,POINT (4544314.425197798 -12479978.76910472)
7,MURDER & NON-NEGL. MANSLAUGHTER,40.836258,-73.911326,POINT (4545871.446462745 -12479829.42542615)
8,ROBBERY,40.864621,-73.908867,POINT (4549028.801180114 -12478841.73201875)
9,ROBBERY,40.840367,-73.912897,POINT (4546328.858250413 -12480460.51755759)
10,ROBBERY,40.872398,-73.90155,POINT (4549894.532860013 -12475903.62061156)
11,RAPE,40.81620584,-73.89600119,POINT (4543639.25022224 -12473676.38532671)
12,ROBBERY,40.825055,-73.877396,POINT (4544624.334207387 -12466213.90167252)
13,ROBBERY,40.862297,-73.868466,POINT (4548770.09468351 -12462635.08352211)
14,RAPE,40.82291231,-73.8700413,POINT (4544385.811047659 -12463266.26616298)
15,ROBBERY,40.89341145,-73.85736207,POINT (4552233.739413824 -12458187.72246322)
16,ROBBERY,40.832137,-73.854969,POINT (4545412.698841186 -12457229.6368787)
17,ROBBERY,40.864393,-73.829709,POINT (4549003.420336213 -12447125.00631576)
18,ROBBERY,40.822622,-73.930942,POINT (4544353.493886287 -12487713.74619135)
19,ROBBERY,40.812805,-73.927085,POINT (4543260.670445169 -12486162.75016848)
20,RAPE,40.82227104,-73.91169778,POINT (4544314.425197798 -12479978.76910472)
21,ROBBERY,40.82405906,-73.89979939,POINT (4544513.466673727 -12475200.86306695)
22,ROBBERY,40.868567,-73.894557,POINT (4549468.067890784 -12473096.82483836)
23,ROBBERY,40.826247,-73.8909,POINT (4544757.027040414 -12471629.47914058)
24,ROBBERY,40.823868,-73.891861,POINT (4544492.197971815 -12472015.04226166)
25,ROBBERY,40.869851,-73.89139,POINT (4549611.002116962 -12471826.06940123)
26,ROBBERY,40.82942,-73.887833,POINT (4545110.2437847 -12470399.11682671)
27,ROBBERY,40.828621,-73.878703,POINT (4545021.299511556 -12466737.86145241)
28,ROBBERY,40.833744,-73.868727,POINT (4545591.589262891 -12462739.65543628)
29,ROBBERY,40.831422,-73.871105,POINT (4545333.105405268 -12463692.49763655)
30,ROBBERY,40.854393,-73.86199682,POINT (4547890.22542828 -12460043.67661703)
31,ROBBERY,40.820688,-73.868116,POINT (4544138.201991092 -12462494.85557099)
32,ROBBERY,40.862669,-73.838473,POINT (4548811.505534085 -12450629.08345119)
33,ROBBERY,40.87656812,-73.83724966,POINT (4550358.748494959 -12450139.84897495)
34,ROBBERY,40.843022,-73.825159,POINT (4546624.41149847 -12445306.52581951)
35,ROBBERY,40.8224573,-73.92691443,POINT (4544335.159566154 -12486094.16807918)
36,ROBBERY,40.81511421,-73.92977291,POINT (4543517.730526504 -12487243.58762695)
37,ROBBERY,40.83262824,-73.92537469,POINT (4545467.383427843 -12485475.10777324)
38,ROBBERY,40.825285,-73.917538,POINT (4544649.937690269 -12482325.22108053)
39,ROBBERY,40.816312,-73.917204,POINT (4543651.067899382 -12482191.00600492)
40,ROBBERY,40.823205,-73.915361,POINT (4544418.39314942 -12481450.46083693)
41,ROBBERY,40.815318,-73.915863,POINT (4543540.416325533 -12481652.16381366)
42,ROBBERY,40.83338,-73.910044,POINT (4545551.068968241 -12479314.47299128)
43,ROBBERY,40.81462177,-73.90857792,POINT (4543462.912356458 -12478725.62845098)
44,ROBBERY,40.849719,-73.910908,POINT (4547369.918128313 -12479661.51922912)
45,ROBBERY,40.86230939,-73.90986809,POINT (4548771.473932001 -12479243.81676096)
46,ROBBERY,40.850298,-73.903968,POINT (4547434.372113482 -12476874.41476233)
47,ROBBERY,40.82915105,-73.90042769,POINT (4545080.304407651 -12475453.07662811)
48,ROBBERY,40.85702079,-73.90361413,POINT (4548182.749672992 -12476732.33189638)
49,ROBBERY,40.856205,-73.890931,POINT (4548091.936345598 -12471641.9163111)
50,ROBBERY,40.827006,-73.881666,POINT (4544841.518533925 -12467925.84385262)
51,ROBBERY,40.839733,-73.872402,POINT (4546258.281693251 -12464212.25095549)
52,ROBBERY,40.837545,-73.866825,POINT (4546014.714647395 -12461977.64036476)
53,ROBBERY,40.863081,-73.86016,POINT (4548857.369164293 -12459308.07246639)
54,ROBBERY,40.88880059,-73.85315128,POINT (4551720.460826504 -12456501.98984889)
55,RAPE,40.83784212,-73.91962775,POINT (4546047.7898945 -12483165.03105938)
56,ROBBERY,40.834324,-73.917174,POINT (4545656.15456755 -12482178.95089143)
57,ROBBERY,40.8596097,-73.90777498,POINT (4548470.945815901 -12478403.15329136)
58,ROBBERY,40.836551,-73.90244,POINT (4545904.063073547 -12476260.92701034)
59,ROBBERY,40.820137,-73.892278,POINT (4544076.864951666 -12472182.35393333)
60,ROBBERY,40.828867,-73.865667,POINT (4545048.684106291 -12461513.74341726)
61,ROBBERY,40.825781,-73.863538,POINT (4544705.152157703 -12460660.94663156)
62,ROBBERY,40.904557,-73.849717,POINT (4553474.456364433 -12455127.43925953)
63,ROBBERY,40.902763,-73.850945,POINT (4553274.749197952 -12455618.90643416)
64,ROBBERY,40.822622,-73.930942,POINT (4544353.493886287 -12487713.74619135)
65,RAPE,40.81035186,-73.92494233,POINT (4542987.588149524 -12485301.28561605)
66,ROBBERY,40.836668,-73.9238,POINT (4545917.08745397 -12484842.05535348)
67,ROBBERY,40.825869,-73.919357,POINT (4544714.948272893 -12483056.21848739)
68,ROBBERY,40.82970103,-73.91931454,POINT (4545141.527901198 -12483039.15426578)
69,ROBBERY,40.866431,-73.909193,POINT (4549230.28945845 -12478972.66624933)
70,ROBBERY,40.816666,-73.905107,POINT (4543690.474999122 -12477331.75698107)
71,ROBBERY,40.84638155,-73.90945594,POINT (4546998.394893764 -12479078.27502231)
72,ROBBERY,40.870034,-73.903111,POINT (4549631.373583778 -12476530.32466299)
73,ROBBERY,40.840323,-73.89964,POINT (4546323.960192818 -12475136.88190804)
74,ROBBERY,40.833231,-73.890222,POINT (4545534.482364113 -12471357.47201251)
75,ROBBERY,40.876445,-73.886932,POINT (4550345.042839253 -12470037.71364499)
76,ROBBERY,40.832163,-73.880008,POINT (4545415.593147946 -12467261.0607163)
77,ROBBERY,40.804008,-73.878333,POINT (4542281.392884661 -12466589.52893303)
78,ROBBERY,40.878716,-73.843758,POINT (4550597.849402845 -12452743.05916452)
79,ROBBERY,40.86280366,-73.84538159,POINT (4548826.495816715 -12453392.62285595)
80,ROBBERY,40.820891,-73.842165,POINT (4544160.799847724 -12452105.79562889)
81,ROBBERY,40.82690902,-73.93102151,POINT (4544830.722769708 -12487745.72296088)
82,MURDER & NON-NEGL. MANSLAUGHTER,40.838167,-73.927353,POINT (4546083.955370668 -12486270.50794582)
83,ROBBERY,40.81103295,-73.92148659,POINT (4543063.406741509 -12483912.13429922)
84,RAPE,40.81035186,-73.92494233,POINT (4542987.588149524 -12485301.28561605)
85,ROBBERY,40.809443,-73.922643,POINT (4542886.414317123 -12484376.95996049)
86,RAPE,40.82227104,-73.91169778,POINT (4544314.425197798 -12479978.76910472)
87,RAPE,40.82227104,-73.91169778,POINT (4544314.425197798 -12479978.76910472)
88,ROBBERY,40.856878,-73.903197,POINT (4548166.854362902 -12476564.85331946)
89,ROBBERY,40.834196,-73.905274,POINT (4545641.905672728 -12477398.81507352)
90,ROBBERY,40.85855,-73.903236,POINT (4548352.980551508 -12476580.51172286)
91,ROBBERY,40.846588,-73.895768,POINT (4547021.376802638 -12473582.80161744)
92,ROBBERY,40.862158,-73.890743,POINT (4548754.62127429 -12471566.49124768)
93,ROBBERY,40.86487,-73.894047,POINT (4549056.519733322 -12472892.17143973)
94,ROBBERY,40.870879,-73.88012,POINT (4549725.438553498 -12467305.96556282)
95,ROBBERY,40.868146,-73.859062,POINT (4549421.202385161 -12458868.38764283)
96,ROBBERY,40.821923,-73.866938,POINT (4544275.681562223 -12462022.91011007)
97,ROBBERY,40.816541,-73.867664,POINT (4543676.560062773 -12462313.76557033)
98,ROBBERY,40.88195875,-73.86032672,POINT (4550958.830681616 -12459374.83662801)
99,ROBBERY,40.822622,-73.930942,POINT (4544353.493886287 -12487713.74619135)
100,RAPE,40.81035186,-73.92494233,POINT (4542987.588149524 -12485301.28561605)
101,ROBBERY,40.80718672,-73.9242798,POINT (4542635.246376435 -12485034.93679696)
102,ROBBERY,40.828667,-73.92545,POINT (4545026.420208133 -12485505.38519928)
103,ROBBERY,40.83308781,-73.91903218,POINT (4545518.542526226 -12482925.67790604)
104,ROBBERY,40.816884,-73.916377,POINT (4543714.742648115 -12481858.69472619)
105,RAPE,40.8441566,-73.90060545,POINT (4546750.714592724 -12475524.43517542)
106,ROBBERY,40.863272,-73.900678,POINT (4548878.631187034 -12475553.5592854)
107,ROBBERY,40.84240365,-73.90501592,POINT (4546555.577091338 -12477295.1845057)
108,ROBBERY,40.857762,-73.894606,POINT (4548265.260792763 -12473116.48794807)
109,ROBBERY,40.86478,-73.895354,POINT (4549046.500979151 -12473416.65856776)
110,ROBBERY,40.862517,-73.898259,POINT (4548794.584971485 -12474582.55688295)
111,ROBBERY,40.87274,-73.884511,POINT (4549932.604125865 -12469066.71552379)
112,ROBBERY,40.843652,-73.845442,POINT (4546694.54277767 -12453416.79283318)
113,ROBBERY,40.888639,-73.842503,POINT (4551702.472709986 -12452241.00399845)
114,ROBBERY,40.839207,-73.783495,POINT (4546199.727641094 -12428677.95366998)
115,ROBBERY,40.850991,-73.909899,POINT (4547511.516520602 -12479256.2320557)
116,ROBBERY,40.876683,-73.905048,POINT (4550371.536878062 -12477308.06596064)
117,ROBBERY,40.823415,-73.901582,POINT (4544441.770242486 -12475916.4672499)
118,ROBBERY,40.820283,-73.885134,POINT (4544093.117597322 -12469316.57053259)
119,ROBBERY,40.853107,-73.883007,POINT (4547747.06856312 -12468463.57299847)
120,RAPE,40.82291231,-73.8700413,POINT (4544385.811047659 -12463266.26616298)
121,ROBBERY,40.820329,-73.86851,POINT (4544098.238293898 -12462652.71238838)
122,ROBBERY,40.887049,-73.867793,POINT (4551525.474719625 -12462365.44783235)
123,ROBBERY,40.837122,-73.867193,POINT (4545967.62650279 -12462125.06863411)
124,ROBBERY,40.825781,-73.863538,POINT (4544705.152157703 -12460660.94663156)
125,ROBBERY,40.88432,-73.857322,POINT (4551221.683829251 -12458171.67896561)
126,ROBBERY,40.866665,-73.863482,POINT (4549256.338219294 -12460638.51663035)
127,ROBBERY,40.826128,-73.852842,POINT (4544743.780021008 -12456378.19066903)
128,ROBBERY,40.896786,-73.840398,POINT (4552609.39260148 -12451398.99668708)
129,ROBBERY,40.844591,-73.828014,POINT (4546799.071779525 -12446447.51417286)
130,ROBBERY,40.817137,-73.917289,POINT (4543742.906479286 -12482225.16227871)
131,ROBBERY,40.834495,-73.913372,POINT (4545675.190200475 -12480651.34335108)
