,0,geometry,Latitude,Longitude,RAPE,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
0,POINT (40.90363018889722 -73.87245107375234),POINT (4553371.284224411 -12464231.91732543),40.90363018889722,-73.87245107375234,0,5,0,5
1,POINT (40.86813907164368 -73.79346476961918),POINT (4549420.431124062 -12432653.21368849),40.868139071643675,-73.79346476961918,0,1,0,1
2,POINT (40.87853559476324 -73.84428228767067),POINT (4550577.766783753 -12452952.80852049),40.87853559476324,-73.84428228767067,31,60,1,92
3,POINT (40.8850051731396 -73.84781444118084),POINT (4551297.956954257 -12454366.07362279),40.885005173139604,-73.84781444118084,31,59,0,90
4,POINT (40.86354838788855 -73.89546758914825),POINT (4548909.398546048 -12473462.24280965),40.86354838788855,-73.89546758914825,0,221,2,223
5,POINT (40.87071800551522 -73.8959759748642),POINT (4549707.516729431 -12473666.26593577),40.870718005515215,-73.8959759748642,0,178,1,179
6,POINT (40.82431968860915 -73.83059394853545),POINT (4544542.479717783 -12447478.74804564),40.82431968860915,-73.83059394853545,14,15,0,29
7,POINT (40.86115632925964 -73.86422801623961),POINT (4548643.115797531 -12460937.32901284),40.86115632925964,-73.86422801623961,0,112,2,114
8,POINT (40.91106389958675 -73.90784562833858),POINT (4554198.801113074 -12478431.52630752),40.91106389958675,-73.90784562833858,0,3,0,3
9,POINT (40.81918523103344 -73.88059322102781),POINT (4543970.914514956 -12467495.7003229),40.819185231033444,-73.88059322102781,0,91,5,96
10,POINT (40.81839729952262 -73.83783136167422),POINT (4543883.20238039 -12450372.47687518),40.818397299522616,-73.83783136167422,0,7,1,8
11,POINT (40.89973164664017 -73.85864415073662),POINT (4552937.30048552 -12458701.0710835),40.89973164664017,-73.85864415073662,0,55,1,56
12,POINT (40.86472794112363 -73.80512621027675),POINT (4549040.705811541 -12437306.01703569),40.864727941123625,-73.80512621027675,0,4,0,4
13,POINT (40.86051540334568 -73.86822901790435),POINT (4548571.768251152 -12462540.13601628),40.86051540334568,-73.86822901790435,0,129,5,134
14,POINT (40.86619914213786 -73.90432859416819),POINT (4549204.4791593 -12477019.2005873),40.86619914213786,-73.90432859416819,0,212,1,213
15,POINT (40.84050876433577 -73.86065778258067),POINT (4546344.639384085 -12459507.41488759),40.84050876433577,-73.86065778258067,0,74,1,75
16,POINT (40.84492847071684 -73.87606048369976),POINT (4546836.63884788 -12465678.55277805),40.84492847071684,-73.87606048369976,0,38,1,39
17,POINT (40.81153591289322 -73.88866979994449),POINT (4543119.39631467 -12470734.78612713),40.81153591289322,-73.8886697999445,0,80,0,80
18,POINT (40.80041984866389 -73.91786820283001),POINT (4541881.961705036 -12482457.91296321),40.80041984866389,-73.91786820283001,0,91,4,95
19,POINT (40.8865145289621 -73.90428666325035),POINT (4551465.977675843 -12477002.36431657),40.8865145289621,-73.90428666325035,7,55,1,63
20,POINT (40.83693997688074 -73.88391398233094),POINT (4545947.363781841 -12468827.28958735),40.836939976880736,-73.88391398233094,0,186,6,192
21,POINT (40.88947212466911 -73.86921557340835),POINT (4551795.21572392 -12462935.41103796),40.88947212466911,-73.86921557340835,0,38,0,38
22,POINT (40.84953108914488 -73.84941657386638),POINT (4547348.999987607 -12455007.20898063),40.84953108914488,-73.84941657386638,0,22,1,23
23,POINT (40.80434178899104 -73.87192740941515),POINT (4542318.550105176 -12464022.06116848),40.80434178899104,-73.87192740941515,0,0,0,0
24,POINT (40.84695345112382 -73.78853094155593),POINT (4547062.058635653 -12430685.64424711),40.846953451123824,-73.78853094155593,0,1,0,1
25,POINT (40.89931913779726 -73.88229923836975),POINT (4552891.38021118 -12468179.76141389),40.899319137797264,-73.88229923836975,0,2,0,2
